M,N,K,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf
108,8192,1024,13.6596,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,2147483648.0,13443.28205128205,33554432.0,16384.0,8320.0,3609.50617081976,1647.2221976035166,256.0,8662.814809967424,2048.0,3953.33327424844,0.5377943545731864
288,4096,512,14.7476,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,1610612736.0,10082.46153846154,33554432.0,16384.0,2240.0,971.7901229130124,443.48289935479295,256.0,8662.814809967424,2048.0,3953.33327424844,0.3735890466446013
768,7168,4608,215.2154,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,50734301184.0,317597.53846153844,754974720.0,368640.0,35712.0,15493.111102441742,7070.384509713557,5760.0,194913.33322426703,46080.0,88949.9986705899,0.8064040373752137
12288,6400,5120,2908.5246,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,805306368000.0,5041230.769230769,10401873920.0,5079040.0,93440.0,40537.530841514235,18499.572373085648,79360.0,2685472.591089902,634880.0,1225533.3150170164,0.947136879003176
6144,768,2560,99.97,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,24159191040.0,151236.92307692306,335544320.0,163840.0,17280.0,7496.66666247181,3421.1537950226884,2560.0,86628.14809967426,20480.0,39533.3327424844,0.8266792774276166
1024,4096,1536,62.9784,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,12884901888.0,80659.69230769231,201326592.0,98304.0,7680.0,3331.8518499874713,1520.5127977878617,1536.0,51976.888859804545,12288.0,23719.999645490643,0.699864312119193
768,7168,8192,374.857,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,90194313216.0,564617.8461538461,1342177280.0,655360.0,63488.0,27543.308626563095,12569.57246171299,10240.0,346512.59239869704,81920.0,158133.3309699376,0.8230721105930305
192,3072,2560,27.2276,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,4026531840.0,25206.153846153848,83886080.0,40960.0,8320.0,3609.50617081976,1647.2221976035166,640.0,21657.037024918565,5120.0,9883.3331856211,0.5058783940097478
20,2048,768,10.9012,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,402653184.0,2520.6153846153848,25165824.0,12288.0,1632.0,708.0185181223376,323.1089695299206,192.0,6497.111107475568,1536.0,2964.9999556863304,0.1263517278899553
608,2304,16384,298.13320000000004,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,48318382080.0,302473.8461538461,1073741824.0,524288.0,47104.0,20435.35801325649,9325.811826432218,8192.0,277210.07391895755,65536.0,126506.66477595008,0.5544040540566353
832,6400,5120,238.2872,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,58720256000.0,367589.7435897435,838860800.0,409600.0,36480.0,15826.296287440488,7222.435789492343,6400.0,216570.3702491856,51200.0,98833.331856211,0.8429689565537811
