Hardware,TP,PP,Model,Workload,FA_Version,pred_prefill_ms,real_prefill_ms,MAPE_prefill(%),pred_decode_ms,real_decode_ms,MAPE_decode(%),pred_total_ms,real_total_ms,MAPE_total(%),avg_MAPE(%)
A100,4,1,Llama-3.1-70B,arxiv_16,fa2,1002.809,5814.855,82.75,33.214,33.221,0.02,2331.352,7149.712,67.39,50.06
A100,4,1,Llama-3.1-70B,splitwise_64,fa2,1254.907,9891.413,87.31,38.119,36.884,3.35,1902.937,10521.187,81.91,57.53
A100,1,1,Qwen2.5-14B,arxiv_8,fa2,164.993,3401.122,95.15,21.146,23.553,10.22,2723.659,6255.934,56.46,53.94
A100,1,1,Qwen2.5-14B,splitwise_32,fa2,128.661,3962.858,96.75,22.6,26.986,16.25,1190.859,5235.754,77.26,63.42
A100,2,1,Qwen3-32B,arxiv_12,fa2,506.266,4757.418,89.36,27.188,27.527,1.23,5427.21,9747.675,44.32,44.97
A100,2,1,Qwen3-32B,splitwise_48,fa2,522.256,2311.902,77.41,29.104,28.437,2.34,4655.033,6351.974,26.72,35.49
A40,1,1,Qwen2.5-14B,arxiv_8,fa2,89.278,7049.569,98.73,53.477,62.791,14.83,6560.02,14648.494,55.22,56.26
A40,1,1,Qwen2.5-14B,splitwise_32,fa2,67.329,8322.531,99.19,58.341,69.162,15.65,2809.342,11573.067,75.73,63.52
H100,4,1,Llama-3.1-70B,arxiv_16,fa3,661.371,2287.668,71.09,21.229,18.342,15.74,1510.55,3025.645,50.08,45.64
H100,4,1,Llama-3.1-70B,splitwise_64,fa3,853.673,3913.639,78.19,24.783,20.661,19.95,1274.991,4267.264,70.12,56.09
H100,1,1,Qwen2.5-14B,arxiv_8,fa3,103.876,1206.495,91.39,12.871,14.441,10.87,1661.279,2935.06,43.4,48.55
H100,1,1,Qwen2.5-14B,splitwise_32,fa3,80.987,1403.398,94.23,13.774,14.814,7.02,728.38,2101.849,65.35,55.53
H100,2,1,Qwen3-32B,arxiv_12,fa3,542.037,1882.409,71.21,16.148,16.781,3.77,3464.899,4919.079,29.56,34.85
H100,2,1,Qwen3-32B,splitwise_48,fa3,445.933,906.574,50.81,23.711,16.822,40.95,3812.925,3528.678,8.06,33.27
H20,8,1,Llama-3.1-70B,arxiv_16,fa3,780.988,5037.101,84.5,13.455,13.127,2.5,1319.207,5565.867,76.3,54.43
H20,8,1,Llama-3.1-70B,splitwise_64,fa3,847.741,8574.14,90.11,19.419,17.469,11.16,1177.861,8952.289,86.84,62.71
H20,1,1,Qwen2.5-14B,arxiv_8,fa3,87.368,5717.889,98.47,11.203,18.016,37.81,1442.985,7902.739,81.74,72.68
H20,1,1,Qwen2.5-14B,splitwise_32,fa3,64.829,6766.857,99.04,13.869,19.715,29.65,716.663,7695.95,90.69,73.13
H200,1,1,Qwen2.5-14B,arxiv_8,fa3,102.886,1224.203,91.6,8.877,12.023,26.17,1177.008,2663.361,55.81,57.86
H200,1,1,Qwen2.5-14B,splitwise_32,fa3,80.103,1429.953,94.4,9.705,11.534,15.85,536.251,1974.815,72.85,61.03
