Hardware,TP,PP,Model,Workload,FA_Version,pred_prefill_ms,real_prefill_ms,MAPE_prefill(%),pred_decode_ms,real_decode_ms,MAPE_decode(%),pred_total_ms,real_total_ms,MAPE_total(%),avg_MAPE(%)
A100,4,1,Llama-3.1-70B,arxiv_16,fa2,6059.759,5823.671,4.05,8.001,33.15,75.86,6379.798,7155.848,10.84,30.25
A100,4,1,Llama-3.1-70B,splitwise_64,fa2,10115.347,9916.41,2.01,9.505,36.676,74.08,10276.935,10542.989,2.52,26.2
A100,1,1,Qwen2.5-14B,arxiv_8,fa2,3346.445,3383.318,1.09,1.37,23.588,94.19,3512.193,6241.278,43.73,46.34
A100,1,1,Qwen2.5-14B,splitwise_32,fa2,3953.85,3946.338,0.19,2.554,27.076,90.57,4073.903,5222.934,22.0,37.59
A100,2,1,Qwen3-32B,arxiv_12,fa2,4798.321,4771.698,0.56,4.232,27.518,84.62,5564.263,9760.692,42.99,42.72
A100,2,1,Qwen3-32B,splitwise_48,fa2,2291.419,2300.465,0.39,5.27,28.327,81.4,3039.747,6328.896,51.97,44.59
A40,1,1,Qwen2.5-14B,arxiv_8,fa2,9062.05,7089.891,27.82,0.0,62.773,100.0,9062.05,14686.758,38.3,55.37
A40,1,1,Qwen2.5-14B,splitwise_32,fa2,11595.509,8388.535,38.23,0.965,69.152,98.6,11640.852,11638.861,0.02,45.62
H100,4,1,Llama-3.1-70B,arxiv_16,fa3,690.936,2284.184,69.75,5.678,18.275,68.93,918.052,3018.596,69.59,69.42
H100,4,1,Llama-3.1-70B,splitwise_64,fa3,1147.93,3907.339,70.62,9.378,20.638,54.56,1307.365,4261.084,69.32,64.83
H100,1,1,Qwen2.5-14B,arxiv_8,fa3,175.754,1206.495,85.43,0.641,14.441,95.56,253.282,2935.06,91.37,90.79
H100,1,1,Qwen2.5-14B,splitwise_32,fa3,164.889,1400.513,88.23,1.54,14.821,89.61,237.264,2099.805,88.7,88.85
H100,2,1,Qwen3-32B,arxiv_12,fa3,606.927,1882.409,67.76,2.513,16.781,85.02,1061.839,4919.079,78.41,77.06
H100,2,1,Qwen3-32B,splitwise_48,fa3,294.213,912.147,67.74,10.757,16.831,36.09,1821.666,3302.932,44.85,49.56
H20,8,1,Llama-3.1-70B,arxiv_16,fa3,736.983,5037.101,85.37,20.2,13.127,53.88,1544.996,5565.867,72.24,70.5
H20,8,1,Llama-3.1-70B,splitwise_64,fa3,1158.751,8574.14,86.49,26.999,17.469,54.56,1617.737,8952.289,81.93,74.32
H20,1,1,Qwen2.5-14B,arxiv_8,fa3,509.546,5717.889,91.09,10.309,18.016,42.78,1756.908,7902.739,77.77,70.55
H20,1,1,Qwen2.5-14B,splitwise_32,fa3,376.519,6766.857,94.44,16.275,19.715,17.45,1141.458,7695.95,85.17,65.68
H200,1,1,Qwen2.5-14B,arxiv_8,fa3,149.853,1224.203,87.76,0.492,12.023,95.91,209.387,2663.361,92.14,91.94
H200,1,1,Qwen2.5-14B,splitwise_32,fa3,133.294,1429.953,90.68,1.153,11.534,90.01,187.465,1974.815,90.51,90.4
H800,8,1,Llama-3.1-70B,arxiv_16,fa3,936.773,1937.028,51.64,8.239,13.574,39.3,1266.331,2484.278,49.03,46.66
H800,8,1,Llama-3.1-70B,arxiv_32,fa3,1858.371,4956.196,62.5,7.337,14.856,50.61,2349.933,5955.535,60.54,57.89
H800,8,1,Llama-3.1-70B,splitwise_64,fa3,1585.786,3311.23,52.11,7.873,15.834,50.28,1719.629,3583.625,52.01,51.47
H800,8,1,Llama-3.1-70B,splitwise_72,fa3,1826.72,4694.28,61.09,7.275,16.374,55.57,1950.401,4975.456,60.8,59.15
H800,1,1,Qwen2.5-14B,arxiv_8,fa3,164.135,1213.014,86.47,0.629,14.543,95.68,240.237,2952.99,91.86,91.34
H800,1,1,Qwen2.5-14B,splitwise_32,fa3,145.987,1411.214,89.66,0.835,14.615,94.28,185.244,2100.173,91.18,91.71
L20,1,1,Qwen2.5-14B,arxiv_8,fa2,9063.502,7616.963,18.99,0.757,50.972,98.51,9155.145,13789.737,33.61,50.37
L20,1,1,Qwen2.5-14B,splitwise_32,fa2,8775.502,8723.053,0.6,2.82,58.966,95.22,8908.048,11763.259,24.27,40.03
L40,1,1,Qwen2.5-14B,arxiv_8,fa2,20061.774,8132.162,146.7,8.778,48.888,82.05,21123.883,14048.977,50.36,93.03
L40,1,1,Qwen2.5-14B,splitwise_32,fa2,23702.218,9797.009,141.93,30.546,56.289,45.73,25137.863,12444.087,102.01,96.56
