Hardware,TP,PP,Model,Workload,FA_Version,pred_prefill_ms,real_prefill_ms,MAPE_prefill(%),pred_decode_ms,real_decode_ms,MAPE_decode(%),pred_total_ms,real_total_ms,MAPE_total(%),avg_MAPE(%)
A100,4,1,Llama-3.1-70B,arxiv_16,fa2,10329.13,5974.037,72.9,62.335,33.362,86.84,12822.546,7560.722,69.59,76.45
A100,4,1,Llama-3.1-70B,splitwise_64,fa2,17699.5,9917.441,78.47,41.913,36.82,13.83,18412.016,10546.832,74.57,55.62
A100,1,1,Qwen2.5-14B,arxiv_8,fa2,5931.305,3491.412,69.88,25.684,23.698,8.38,9039.019,6668.902,35.54,37.93
A100,1,1,Qwen2.5-14B,splitwise_32,fa2,7248.352,3996.899,81.35,33.308,27.146,22.7,8813.828,5397.915,63.28,55.78
A100,2,1,Qwen3-32B,arxiv_12,fa2,8383.262,4757.108,76.23,33.345,27.485,21.32,14418.768,9994.119,44.27,47.27
A100,2,1,Qwen3-32B,splitwise_48,fa2,4150.161,2312.007,79.5,33.686,28.338,18.87,8933.596,6405.661,39.46,45.95
A40,1,1,Qwen2.5-14B,arxiv_8,fa2,12904.109,7046.898,83.12,84.878,62.783,35.19,23174.389,15214.094,52.32,56.88
A40,1,1,Qwen2.5-14B,splitwise_32,fa2,15494.424,8388.535,84.71,68.114,69.152,1.5,18695.765,11638.861,60.63,48.95
H100,4,1,Llama-3.1-70B,arxiv_16,fa3,3700.942,2286.797,61.84,19.381,18.27,6.08,4476.19,3302.294,35.55,34.49
H100,4,1,Llama-3.1-70B,splitwise_64,fa3,6589.057,3917.477,68.2,23.094,20.649,11.84,6981.66,4318.51,61.67,47.24
H100,1,1,Qwen2.5-14B,arxiv_8,fa3,2044.04,1213.738,68.41,11.58,14.44,19.81,3445.182,3295.359,4.55,30.92
H100,1,1,Qwen2.5-14B,splitwise_32,fa3,2517.023,1408.524,78.7,13.551,14.818,8.55,3153.92,2176.611,44.9,44.05
H100,2,1,Qwen3-32B,arxiv_12,fa3,3198.315,1884.797,69.69,15.138,16.789,9.83,5938.326,5213.314,13.91,31.14
H100,2,1,Qwen3-32B,splitwise_48,fa3,1578.68,906.574,74.14,26.261,16.822,56.11,5307.73,3528.678,50.42,60.22
H20,8,1,Llama-3.1-70B,arxiv_16,fa3,3656.21,5037.101,27.41,17.348,13.127,32.15,4350.126,5565.867,21.84,27.14
H20,8,1,Llama-3.1-70B,splitwise_64,fa3,6634.646,8515.465,22.09,20.507,17.339,18.27,6983.273,8814.605,20.78,20.38
H20,1,1,Qwen2.5-14B,arxiv_8,fa3,3923.653,5719.664,31.4,20.825,18.046,15.4,6443.481,7909.411,18.53,21.78
H20,1,1,Qwen2.5-14B,splitwise_32,fa3,4911.698,6724.307,26.96,26.836,19.847,35.21,6173.0,7660.336,19.42,27.19
