Hardware,TP,PP,Model,Workload,FA_Version,pred_prefill_ms,real_prefill_ms,MAPE_prefill(%),pred_decode_ms,real_decode_ms,MAPE_decode(%),pred_total_ms,real_total_ms,MAPE_total(%),avg_MAPE(%)
A100,4,1,Llama-3.1-70B,arxiv_16,fa2,5860.11,5798.68,1.06,35.052,33.394,4.96,7262.177,7135.14,1.78,2.6
A100,4,1,Llama-3.1-70B,splitwise_64,fa2,9825.55,9839.362,0.14,38.982,36.866,5.74,10488.243,10535.202,0.45,2.11
A100,1,1,Qwen2.5-14B,arxiv_8,fa2,3346.161,3383.318,1.1,23.313,23.588,1.17,6167.001,6241.278,1.19,1.15
A100,1,1,Qwen2.5-14B,splitwise_32,fa2,3855.751,3946.338,2.3,26.45,27.076,2.31,5098.883,5222.934,2.38,2.33
A100,2,1,Qwen3-32B,arxiv_12,fa2,4732.161,4757.108,0.52,29.259,27.485,6.45,10028.117,9994.119,0.34,2.44
A100,2,1,Qwen3-32B,splitwise_48,fa2,2347.439,2312.007,1.53,30.223,28.338,6.65,6639.176,6405.661,3.65,3.94
A40,1,1,Qwen2.5-14B,arxiv_8,fa2,6862.033,7049.569,2.66,62.613,62.791,0.28,14438.18,14648.494,1.44,1.46
A40,1,1,Qwen2.5-14B,splitwise_32,fa2,8103.273,8322.531,2.63,64.229,69.162,7.13,11122.016,11573.067,3.9,4.56
H100,4,1,Llama-3.1-70B,arxiv_16,fa3,2114.209,2287.668,7.58,18.972,18.342,3.43,2873.069,3025.645,5.04,5.35
H100,4,1,Llama-3.1-70B,splitwise_64,fa3,3650.511,3907.339,6.57,22.53,20.638,9.17,4033.529,4261.084,5.34,7.03
H100,1,1,Qwen2.5-14B,arxiv_8,fa3,1065.523,1206.495,11.68,12.074,14.441,16.39,2526.457,2935.06,13.92,14.0
H100,1,1,Qwen2.5-14B,splitwise_32,fa3,1241.855,1400.513,11.33,13.002,14.821,12.27,1852.967,2099.805,11.76,11.79
H100,2,1,Qwen3-32B,arxiv_12,fa3,1822.723,1882.409,3.17,14.898,16.781,11.22,4519.271,4919.079,8.13,7.51
H100,2,1,Qwen3-32B,splitwise_48,fa3,882.678,906.574,2.64,22.252,16.822,32.28,4042.442,3528.678,14.56,16.49
H20,8,1,Llama-3.1-70B,arxiv_16,fa3,4884.954,5037.101,3.02,14.031,13.127,6.88,5446.185,5565.867,2.15,4.02
H20,8,1,Llama-3.1-70B,splitwise_64,fa3,8324.001,8515.465,2.25,18.522,17.339,6.82,8638.881,8814.605,1.99,3.69
H20,1,1,Qwen2.5-14B,arxiv_8,fa3,5682.926,5717.889,0.61,12.405,18.016,31.15,7183.901,7902.739,9.1,13.62
H20,1,1,Qwen2.5-14B,splitwise_32,fa3,6672.307,6724.307,0.77,15.327,19.847,22.77,7392.695,7660.336,3.49,9.01
H200,1,1,Qwen2.5-14B,arxiv_8,fa3,1039.026,1224.203,15.13,9.586,12.023,20.27,2198.886,2663.361,17.44,17.61
H200,1,1,Qwen2.5-14B,splitwise_32,fa3,1212.608,1429.953,15.2,10.188,11.534,11.67,1691.425,1974.815,14.35,13.74
H800,8,1,Llama-3.1-70B,arxiv_16,fa3,1667.414,1937.426,13.94,15.687,13.588,15.44,2294.884,2484.474,7.63,12.34
H800,8,1,Llama-3.1-70B,arxiv_32,fa3,3739.964,4955.383,24.53,15.63,14.885,5.01,4787.152,5956.324,19.63,16.39
H800,8,1,Llama-3.1-70B,splitwise_64,fa3,2839.412,3310.031,14.22,16.694,15.902,4.98,3123.217,3584.696,12.87,10.69
H800,8,1,Llama-3.1-70B,splitwise_72,fa3,3609.573,4694.28,23.11,16.42,16.374,0.28,3888.72,4975.456,21.84,15.08
H800,1,1,Qwen2.5-14B,arxiv_8,fa3,1065.523,1213.014,12.16,12.074,14.543,16.98,2526.457,2952.99,14.44,14.53
H800,1,1,Qwen2.5-14B,splitwise_32,fa3,1241.855,1411.214,12.0,13.002,14.615,11.03,1852.967,2100.173,11.77,11.6
