Hardware,TP,PP,Model,Workload,FA_Version,pred_prefill_ms,real_prefill_ms,MAPE_prefill(%),pred_decode_ms,real_decode_ms,MAPE_decode(%),pred_total_ms,real_total_ms,MAPE_total(%),avg_MAPE(%)
A100,4,1,Llama-3.1-70B,arxiv_16,fa2,4826.705,5798.368,16.76,0,33.36,100.0,5781.921,7133.22,18.94,45.23
A100,4,1,Llama-3.1-70B,splitwise_64,fa2,8037.724,9839.362,18.31,0,36.866,100.0,8461.631,10535.202,19.68,46.0
A100,1,1,Qwen2.5-14B,arxiv_8,fa2,2611.982,3383.318,22.8,0,23.588,100.0,4334.148,6241.278,30.56,51.12
A100,1,1,Qwen2.5-14B,splitwise_32,fa2,3093.61,3946.338,21.61,0,27.076,100.0,3779.034,5222.934,27.65,49.75
A100,2,1,Qwen3-32B,arxiv_12,fa2,3797.268,4757.418,20.18,0,27.527,100.0,7242.505,9747.675,25.7,48.63
A100,2,1,Qwen3-32B,splitwise_48,fa2,1835.253,2300.465,20.22,0,28.327,100.0,4629.53,6328.896,26.85,49.02
A40,1,1,Qwen2.5-14B,arxiv_8,fa2,5111.821,7049.569,27.49,0,62.791,100.0,10145.332,14648.494,30.74,52.74
A40,1,1,Qwen2.5-14B,splitwise_32,fa2,6298.455,8322.531,24.32,0,69.162,100.0,8300.586,11573.067,28.28,50.87
H100,4,1,Llama-3.1-70B,arxiv_16,fa3,566.036,2284.184,75.22,0,18.275,100.0,1189.846,3018.596,60.58,78.6
H100,4,1,Llama-3.1-70B,splitwise_64,fa3,951.349,3907.339,75.65,0,20.638,100.0,1238.262,4261.084,70.94,82.2
H100,1,1,Qwen2.5-14B,arxiv_8,fa3,118.726,1206.495,90.16,0,14.441,100.0,1166.166,2935.06,60.27,83.48
H100,1,1,Qwen2.5-14B,splitwise_32,fa3,107.806,1400.513,92.3,0,14.821,100.0,525.328,2099.805,74.98,89.09
H100,2,1,Qwen3-32B,arxiv_12,fa3,528.121,1882.409,71.94,0,16.781,100.0,2534.737,4919.079,48.47,73.47
H100,2,1,Qwen3-32B,splitwise_48,fa3,254.001,912.147,72.15,0,16.831,100.0,2810.365,3302.932,14.91,62.36
H20,8,1,Llama-3.1-70B,arxiv_16,fa3,607.17,5037.023,87.95,0,13.063,100.0,987.162,5563.471,82.26,90.07
H20,8,1,Llama-3.1-70B,splitwise_64,fa3,947.102,8515.164,88.88,0,17.299,100.0,1187.105,8812.07,86.53,91.8
H20,1,1,Qwen2.5-14B,arxiv_8,fa3,444.373,5717.889,92.23,0,18.016,100.0,1334.43,7902.739,83.11,91.78
H20,1,1,Qwen2.5-14B,splitwise_32,fa3,304.818,6724.307,95.47,0,19.847,100.0,708.077,7660.336,90.76,95.41
H200,1,1,Qwen2.5-14B,arxiv_8,fa3,93.142,1224.203,92.39,0,12.023,100.0,807.729,2663.361,69.67,87.35
H200,1,1,Qwen2.5-14B,splitwise_32,fa3,79.345,1429.953,94.45,0,11.534,100.0,364.021,1974.815,81.57,92.01
H800,8,1,Llama-3.1-70B,arxiv_16,fa3,859.697,1937.028,55.62,0,13.574,100.0,1383.176,2484.278,44.32,66.65
H800,8,1,Llama-3.1-70B,arxiv_32,fa3,1653.683,4956.196,66.63,0,14.856,100.0,2481.818,5955.535,58.33,74.99
H800,8,1,Llama-3.1-70B,splitwise_64,fa3,1454.848,3310.708,56.06,0,15.891,100.0,1672.759,3583.705,53.32,69.79
H800,8,1,Llama-3.1-70B,splitwise_72,fa3,1635.697,4694.28,65.16,0,16.374,100.0,1844.54,4975.456,62.93,76.03
H800,1,1,Qwen2.5-14B,arxiv_8,fa3,118.726,1213.014,90.21,0,14.543,100.0,1166.166,2952.99,60.51,83.57
H800,1,1,Qwen2.5-14B,splitwise_32,fa3,107.806,1409.806,92.35,0,14.664,100.0,525.328,2100.099,74.99,89.11
L20,1,1,Qwen2.5-14B,arxiv_8,fa2,8324.12,7616.963,9.28,0,50.972,100.0,12363.193,13789.737,10.34,39.88
L20,1,1,Qwen2.5-14B,splitwise_32,fa2,8009.665,8723.053,8.18,0,58.966,100.0,9621.738,11763.259,18.21,42.13
L40,1,1,Qwen2.5-14B,arxiv_8,fa2,7750.206,7858.196,1.37,0,48.885,100.0,11797.179,13773.918,14.35,38.58
L40,1,1,Qwen2.5-14B,splitwise_32,fa2,9098.491,9317.766,2.35,0,56.293,100.0,10712.17,12070.726,11.25,37.87
RTX_6000_Ada,1,1,Qwen2.5-14B,arxiv_8,fa2,3947.364,8015.579,50.75,0,40.289,100.0,7590.044,13288.107,42.88,64.54
RTX_6000_Ada,1,1,Qwen2.5-14B,splitwise_32,fa2,4610.74,10439.683,55.83,0,44.895,100.0,6063.213,12637.412,52.02,69.29
RTX_6000_Ada,2,1,Qwen3-32B,arxiv_12,fa2,6915.914,12313.448,43.83,0,44.755,100.0,13762.779,20755.53,33.69,59.18
RTX_6000_Ada,2,1,Qwen3-32B,splitwise_48,fa2,3402.769,5115.219,33.48,0,52.107,100.0,9255.14,12517.177,26.06,53.18
RTX_A6000,1,1,Qwen2.5-14B,arxiv_8,fa2,4933.073,6734.398,26.75,0,50.959,100.0,9495.321,12903.939,26.42,51.05
RTX_A6000,1,1,Qwen2.5-14B,splitwise_32,fa2,6078.392,8109.37,25.04,0,55.636,100.0,7893.073,10724.35,26.4,50.48
RTX_PRO_6000_S,1,1,Qwen2.5-14B,arxiv_8,fa2,1717.693,2158.69,20.43,0,25.987,100.0,3684.607,5305.321,30.55,50.33
RTX_PRO_6000_S,1,1,Qwen2.5-14B,splitwise_32,fa2,2102.337,2563.48,17.99,0,29.456,100.0,2881.902,3948.753,27.02,48.34
RTX_PRO_6000_S,2,1,Qwen3-32B,arxiv_12,fa2,3372.615,3963.203,14.9,0,30.086,100.0,7088.886,9412.406,24.69,46.53
RTX_PRO_6000_S,2,1,Qwen3-32B,splitwise_48,fa2,1738.386,1968.095,11.67,0,34.444,100.0,4815.397,6855.67,29.76,47.14
