attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,382.98406666666665,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5415370752,37242.59154929577,52985856,51744.0,50745728,22335.2676056338,484384,30274.0,161376.0,401583.194732666,60942.12250132143,1576.0,556905.0312042236,12608.0,84512.93549732132,0.038819635879596,0.34413773,7.86504
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[126,453,261,219,81,1449,14337,10113,19329,135,122,18561,3009,1641,4641,4641]",24,8,128,374.701,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5441323008,37421.07042253521,55148544,53856.0,50966912,22432.61971830986,502816,31426.0,162144.0,403494.35806274414,61232.150448977925,1640.0,579520.4639434814,13120.0,87944.93287792322,0.0398679242032455,0.310173,6.7800126
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,461.5925333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,4429185024,51492.57142857143,75694080,73920.0,40503936,30136.85714285714,677920,42370.0,131744.0,314058.85438888817,89965.06679205246,2248.0,450148.48184329097,17984.0,128949.20066550928,0.0641115913244859,0.4813235,6.507589
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[13,90,201,5409,4833,2433,1737,1257,18945,11649,8193,8961]",64,8,128,449.4356000000001,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,4368629760,50788.57142857143,81100800,79200.0,39987840,29752.85714285714,724000,45250.0,129952.0,309786.9826750728,88741.34958526235,2408.0,482187.519696906,19264.0,138127.0797164352,0.0649455320280622,0.42491865,5.542692
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,373.16386666666665,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,4429185024,51492.57142857143,75694080,73920.0,40503936,30136.85714285714,677920,42370.0,131744.0,294470.78704833984,83760.57942708333,2248.0,422072.4105834961,17984.0,120056.15234375,0.0766606487989301,0.4811972,5.2769775
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,454.3956666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,5415370752,74485.18309859154,52985856,103488.0,50745728,22335.2676056338,484384,30274.0,161376.0,443482.3963380154,67861.05272641999,1576.0,615009.7439599268,12608.0,94107.92628241488,0.0658318957385409,0.40660763,5.176453
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[55,95,108,7425,1401,18432,12288,393,20481,5217,291,993,8961,1689,2529,2913]",16,8,128,121.6178,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,5930090496,10968.0,64880640,15840.0,21176448,10026.727272727272,217120,13570.0,176544.0,91909.1332819044,34932.97343351403,1928.0,132491.0888147518,15424.0,50357.4293486926,0.0492809656394937,0.3001333,5.0902467
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,115.56035714285714,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,5566758912,10296.0,64880640,15840.0,20144256,9538.0,217120,13570.0,165792.0,86311.62217392545,32805.46227279974,1928.0,132491.0888147518,15424.0,50357.4293486926,0.0486865015590208,0.29638508,5.087622
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,115.51033333333334,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,5566758912,10296.0,64880640,15840.0,20144256,9538.0,217120,13570.0,165792.0,86311.62217392545,32805.46227279974,1928.0,132491.0888147518,15424.0,50357.4293486926,0.0487075861166538,0.29638508,5.0849867
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,543.5677333333334,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,5376442368,62505.142857142855,118947840,116160.0,48577152,36143.71428571428,1046560,65410.0,159776.0,380883.1333407138,109107.50024112656,3528.0,706460.7846722112,28224.0,202372.2330729167,0.0660865126681109,0.3795867,4.7437835
