attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[10,285,633,1137,7233,16641,20097,10497]",32,4,128,175.59273333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2041577472,28080.676056338027,15138816,29568.0,22057408,9708.3661971831,161824,10114.0,61552.0,169152.9623946406,25883.548467037257,456.0,177946.98175490266,3648.0,27229.19694465812,0.0642246391876377,0.40412843,5.29242
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,382.98406666666665,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5415370752,37242.59154929577,52985856,51744.0,50745728,22335.2676056338,484384,30274.0,161376.0,401583.194732666,60942.12250132143,1576.0,556905.0312042236,12608.0,84512.93549732132,0.038819635879596,0.20177841,4.1978426
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[25,249,6177,14337,11265,159,14721,3393,2721,1473,4353,7905]",20,4,128,197.84433333333337,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2383282176,32780.619718309856,18382848,35904.0,24969664,10990.169014084508,189472,11842.0,71664.0,196942.0635730687,30135.797656319173,552.0,215409.50422961905,4416.0,32961.65945932298,0.0665417467136293,0.34233055,4.1445975
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[261,81,20,1233,267,12033,1809,351,6657,8001,13953,19713]",20,4,128,192.49846666666664,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2236219392,30757.85915492957,17301504,33792.0,23716288,10438.50704225352,180256,11266.0,67312.0,184982.19724311228,28305.7157267548,520.0,202921.9967380469,4160.0,31050.83862110136,0.0641696221865062,0.32197714,4.017594
fa3_paged,2,"[11,29]","[99,39]",16,2,128,131.44906666666668,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,301989888,558.5454545454545,12582912,3072.0,630784,298.6666666666667,26112,1632.0,2176.0,772.3894933339435,365.0492571253485,80.0,3748.36077647355,640.0,1771.5625713436027,0.002321934290747,0.011133535,3.7949233
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[16,608,195,17793,12033,5793,8577,3585,1209,1761,9729,3585]",128,8,128,461.5925333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,4429185024,51492.57142857143,75694080,73920.0,40503936,30136.85714285714,677920,42370.0,131744.0,314058.85438888817,89965.06679205246,2248.0,450148.48184329097,17984.0,128949.20066550928,0.0641115913244859,0.29374367,3.5817556
fa2_paged,1,[1],[129],4,1,64,30.639000000000003,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,9191424,106.85714285714286,540672,528.0,357136,265.7261904761905,21008,1313.0,306.0,729.4602368456991,208.9606391059028,18.0,3604.3917585316894,144.0,1032.5113932291667,0.0020043784414414,0.009098487,3.5392883
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,454.3956666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,5415370752,74485.18309859154,52985856,103488.0,50745728,22335.2676056338,484384,30274.0,161376.0,443482.3963380154,67861.05272641999,1576.0,615009.7439599268,12608.0,94107.92628241488,0.0658318957385409,0.29062197,3.414607
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[126,453,261,219,81,1449,14337,10113,19329,135,122,18561,3009,1641,4641,4641]",24,8,128,374.701,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5441323008,37421.07042253521,55148544,53856.0,50966912,22432.61971830986,502816,31426.0,162144.0,403494.35806274414,61232.150448977925,1640.0,579520.4639434814,13120.0,87944.93287792322,0.0398679242032455,0.16937196,3.2483258
fa2_paged,6,"[1,1,1,1,1,1]","[105,512,20097,6561,2817,7329]",40,8,128,191.7504,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,2564947968,54030.75429726997,31358976,60773.20930232558,24877952,16900.782608695652,300064,18754.0,76640.0,213154.315047894,45920.16729384816,936.0,239498.2303941056,7488.0,51595.47815772252,0.1118160666928969,0.47298765,3.230051
