M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
6,1024,2048,12.6292,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,2097152.0,512.0,4128.0,1465.2683035305697,692.5199142524992,288.0,13494.098795304775,2304.0,6377.62525683697,0.0026852769365177,0.04745496,16.672215
6,896,2432,7.7268,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,39845888.0,73.6969696969697,2490368.0,608.0,4294.0,1524.1913990698315,720.3683410368778,342.0,16024.242319424422,2736.0,7573.429992493901,0.0052119335482244,0.0759258,13.567657
6,1024,1024,7.630800000000001,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,16777216.0,31.03030303030303,1048576.0,256.0,2064.0,732.6341517652847,346.2599571262496,144.0,6747.0493976523885,1152.0,3188.812628418485,0.0022221064296449,0.028645528,11.891107
8,768,2048,6.818,8,64,64,0,12,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,25165824.0,46.54545454545455,2097152.0,512.0,3104.0,1101.790894902831,520.732028546453,288.0,13494.098795304775,2304.0,6377.62525683697,0.003730518424025,0.04747814,11.726924
6,1024,1536,6.6004000000000005,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,25165824.0,46.54545454545455,1572864.0,384.0,3096.0,1098.951227647927,519.3899356893745,216.0,10120.574096478582,1728.0,4783.218942627727,0.0038535050322711,0.048430562,11.567895
2,768,2048,6.3764,8,64,64,0,12,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,25165824.0,46.54545454545455,2097152.0,512.0,3104.0,1101.790894902831,520.732028546453,288.0,13494.098795304775,2304.0,6377.62525683697,0.0039888768921338,0.04747814,10.902607
3,2560,8192,1026.7022,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0174689537489625,0.20710781,10.85576
8,768,2560,5.621,8,64,64,0,12,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,31457280.0,393.84615384615387,2621440.0,2560.0,3880.0,1683.2793200457538,768.1757363824092,360.0,12182.083326516691,2880.0,5559.374916911869,0.0382879340885179,0.4373182,10.421825
4,1024,2048,7.970000000000001,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,2097152.0,512.0,4128.0,1465.2683035305697,692.5199142524992,288.0,13494.098795304775,2304.0,6377.62525683697,0.0042550689443751,0.04745496,10.152549
16,1024,3072,13.244,16,16,128,1,64,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,100663296.0,692.2816901408451,1572864.0,1536.0,6240.0,15528.202056884766,2356.477074709038,192.0,67846.29821777344,1536.0,10295.992141805642,0.0208668042996111,0.22943623,9.995271
8,640,1536,4.7508,8,64,64,0,12,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,18874368.0,34.90909090909091,1572864.0,384.0,1944.0,690.0391429417216,326.1285642700724,216.0,10120.574096478582,1728.0,4783.218942627727,0.0040153249897389,0.039630093,8.869688
16,896,2432,10.9844,16,16,128,1,56,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,69730304.0,479.5492957746479,1245184.0,1216.0,4332.0,10780.155658721924,1635.9388922499284,152.0,53711.652755737305,1216.0,8150.993778929466,0.0174280656768342,0.17004564,8.756995
4,18432,16384,204.5472,8,256,64,0,72,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,4831838208.0,8936.727272727272,67108864.0,16384.0,590080.0,307196.74056884483,116759.83870110544,8448.0,580541.866341817,67584.0,220653.30038265308,0.0238744775097409,0.23046108,8.653028
2,768,1024,4.7256,8,64,64,0,12,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,12582912.0,23.27272727272728,1048576.0,256.0,1552.0,550.8954474514155,260.3660142732265,144.0,6747.0493976523885,1152.0,3188.812628418485,0.0026911582248817,0.025371123,8.427553
8,768,2560,5.922,8,64,64,0,12,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,31457280.0,58.18181818181818,2621440.0,640.0,3880.0,2019.9351840549043,767.7402626089498,360.0,24738.99998615697,2880.0,9402.839504942604,0.005368683429374,0.050451748,8.3974
6,768,1024,4.6868,8,64,64,0,12,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,12582912.0,23.27272727272728,1048576.0,256.0,1552.0,550.8954474514155,260.3660142732265,144.0,6747.0493976523885,1152.0,3188.812628418485,0.0027134371655503,0.025371123,8.350147
4,1536,2560,7.963600000000001,8,64,64,0,24,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,62914560.0,116.36363636363636,2621440.0,640.0,7720.0,2740.278900982557,1295.1196070807398,360.0,16867.62349413097,2880.0,7972.031571046211,0.0079846660477053,0.07271798,8.107193
8,512,1024,3.8548,8,64,64,0,8,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,8388608.0,15.515151515151516,1048576.0,256.0,1040.0,369.1567431375465,174.47207142020332,144.0,6747.0493976523885,1152.0,3188.812628418485,0.002199394228408,0.019549072,7.8883533
3,768,2048,4.962,8,64,64,0,12,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,25165824.0,315.0769230769231,2097152.0,2048.0,3104.0,1346.6234560366029,614.5405891059273,288.0,9745.666661213354,2304.0,4447.499933529496,0.0346983438148423,0.30231073,7.7125382
14,768,2560,7.777799999999999,8,64,64,0,24,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,62914560.0,116.36363636363636,2621440.0,640.0,3920.0,1391.43695490306,657.6254999684586,360.0,16867.62349413097,2880.0,7972.031571046211,0.0081754077679428,0.07077011,7.656452
6,768,2048,4.9236,8,64,64,0,12,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,25165824.0,315.0769230769231,2097152.0,2048.0,3104.0,1346.6234560366029,614.5405891059273,288.0,9745.666661213354,2304.0,4447.499933529496,0.0349689621434006,0.30231073,7.6451135
5,768,2048,4.923399999999999,8,64,64,0,12,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,25165824.0,315.0769230769231,2097152.0,2048.0,3104.0,1346.6234560366029,614.5405891059273,288.0,9745.666661213354,2304.0,4447.499933529496,0.034970382664266,0.30231073,7.6447625
8,1024,1536,4.482,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,25165824.0,46.54545454545455,1572864.0,384.0,3096.0,1098.951227647927,519.3899356893745,216.0,10120.574096478582,1728.0,4783.218942627727,0.0056748493116917,0.048430562,7.534233
6,1024,768,5.6916,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,12582912.0,23.27272727272728,786432.0,192.0,1548.0,549.4756138239635,259.69496784468726,108.0,5060.287048239291,864.0,2391.609471313864,0.0022344046151348,0.018700251,7.369199
40,768,4096,8.764000000000001,8,64,64,0,96,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,402653184.0,744.7272727272727,4194304.0,1024.0,6464.0,2294.451141962597,1084.4110285194174,576.0,26988.19759060956,4608.0,12755.25051367394,0.0464348235782792,0.38821417,7.3604083
8,640,1536,4.3154,8,64,64,0,12,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,18874368.0,236.30769230769232,1572864.0,1536.0,1944.0,843.3749995280788,384.87980194005246,216.0,7309.249995910015,1728.0,3335.6249501471216,0.029923039928381,0.2474365,7.269094
8,896,2432,5.5892,8,64,64,0,16,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,39845888.0,498.87179487179486,2490368.0,2432.0,4294.0,1862.8869588341408,850.1408793881611,342.0,11572.979160190858,2736.0,5281.406171066275,0.0487739816398247,0.37598482,6.7087154
4,1536,8960,39.487100000000005,16,16,128,1,96,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,440401920.0,9277.087967644084,9175040.0,17781.08527131783,27160.0,75538.50726384134,16273.378701734291,1120.0,286579.07910405786,8960.0,61738.1789921466,0.0932300451069964,0.71709615,6.6916842
12,2304,16384,65.046,16,16,128,1,144,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,1207959552.0,8307.38028169014,16777216.0,16384.0,74240.0,184745.78857421875,28036.034940128044,2048.0,723693.84765625,16384.0,109823.91617926018,0.0509842184566091,0.37639892,6.382654
16,512,2048,5.2116,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,2097152.0,512.0,2112.0,749.6721552947099,354.3125142687206,288.0,13494.098795304775,2304.0,6377.62525683697,0.0065071953884929,0.047650628,6.32275
5,2560,8192,631.2006000000001,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0284147595007958,0.20710781,6.2887387
2,768,1024,3.995600000000001,8,64,64,0,12,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,12582912.0,23.27272727272728,1048576.0,256.0,1552.0,807.9740736219618,307.09610504357994,144.0,9895.59999446279,1152.0,3761.135801977041,0.0031828354458657,0.022913508,6.199067
6,768,1024,3.8676,8,64,64,0,12,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,12582912.0,23.27272727272728,1048576.0,256.0,1552.0,807.9740736219618,307.09610504357994,144.0,9895.59999446279,1152.0,3761.135801977041,0.003288172848149,0.022913508,5.9684443
8,4608,16384,181.9104,16,16,128,1,288,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,2415919104.0,16614.76056338028,25165824.0,24576.0,147968.0,368217.4682617188,55878.71791515176,3072.0,1085540.771484375,24576.0,164735.87426889027,0.0364610211810715,0.2506093,5.873347
6,1280,2048,6.319000000000001,8,64,64,0,20,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,41943040.0,77.57575757575758,2097152.0,512.0,5152.0,1828.7457121583072,864.3077999585456,288.0,13494.098795304775,2304.0,6377.62525683697,0.0067085178601578,0.045682512,5.80962
13,1536,4480,21.4421,16,16,128,1,96,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,220200960.0,4638.543983822043,4587520.0,8890.542635658914,13580.0,37769.25363192067,8136.689350867147,560.0,143289.53955202893,4480.0,30869.0894960733,0.0858447660011024,0.5844086,5.807737
14,1536,4480,21.3751,16,16,128,1,96,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,220200960.0,4638.543983822043,4587520.0,8890.542635658914,13580.0,37769.25363192067,8136.689350867147,560.0,143289.53955202893,4480.0,30869.0894960733,0.0861138454122899,0.5844086,5.786464
8,1536,2560,5.7940000000000005,8,64,64,0,24,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,62914560.0,116.36363636363636,2621440.0,640.0,7720.0,2740.278900982557,1295.1196070807398,360.0,16867.62349413097,2880.0,7972.031571046211,0.0109745748252513,0.07271798,5.626035
8,1024,1024,3.8618,8,64,64,0,16,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,16777216.0,31.03030303030303,1048576.0,256.0,2064.0,732.6341517652847,346.2599571262496,144.0,6747.0493976523885,1152.0,3188.812628418485,0.0043908150974506,0.028645528,5.5239534
6,896,2432,5.7492,8,64,64,0,16,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,39845888.0,73.6969696969697,2490368.0,608.0,4294.0,2235.4643506009693,849.6589401141316,342.0,23502.049986849124,2736.0,8932.697529695472,0.0070047255514542,0.045520328,5.498509
8,1024,768,3.4388,8,64,64,0,16,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,12582912.0,157.53846153846155,786432.0,768.0,1548.0,671.5763885130997,306.4783608041159,108.0,3654.624997955008,864.0,1667.8124750735608,0.0250339045610747,0.16233999,5.4848027
14,896,2432,11.6277,16,16,128,1,56,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,69730304.0,1468.8722615436468,1245184.0,2413.1472868217056,4332.0,12048.33628376144,2595.591919584424,152.0,38892.875021265005,1216.0,8378.752863219894,0.0501290726517605,0.32473817,5.4780393
8,1280,2048,5.9796,8,64,64,0,20,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,41943040.0,77.57575757575758,2097152.0,512.0,5152.0,1828.7457121583072,864.3077999585456,288.0,13494.098795304775,2304.0,6377.62525683697,0.0070892909823963,0.045682512,5.4438686
