M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
3,129280,7168,621.3034,8,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,14856224768.0,27477.33333333333,117440512.0,28672.0,1813616.0,944171.8476198248,358862.37734840024,14560.0,1000555.1105512376,116480.0,380292.6199776786,0.024166834187167,0.36721936,14.195174
6,129280,7168,609.0562000000001,8,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,14856224768.0,27477.33333333333,117440512.0,28672.0,1813616.0,944171.8476198248,358862.37734840024,14560.0,1000555.1105512376,116480.0,380292.6199776786,0.0246527927106285,0.36721936,13.895645
3,2560,8192,1026.7022,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0174689537489625,0.252629,13.461592
15,128256,16384,1412.3002,16,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,67377299456.0,124617.69696969698,536870912.0,131072.0,4112896.0,2141181.2728759483,813823.6740008503,33792.0,2322167.465367268,270336.0,882613.2015306123,0.0482171581999587,0.6853011,13.212803
7,152064,8192,829.9902,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,19931332608.0,36864.0,150994944.0,36864.0,2433152.0,1266703.4363282367,481450.7101668793,18816.0,1293025.0659431375,150528.0,491455.07812500006,0.0242704821033814,0.3255767,12.414508
5,152064,8192,825.7118,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,19931332608.0,36864.0,150994944.0,36864.0,2433152.0,1266703.4363282367,481450.7101668793,18816.0,1293025.0659431375,150528.0,491455.07812500006,0.0243962388512335,0.3255767,12.34536
15,128256,8192,719.3122000000001,16,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,33688649728.0,62308.84848484849,268435456.0,65536.0,2056448.0,1070590.6364379742,406911.8370004252,16896.0,1161083.732683634,135168.0,441306.60076530615,0.0473348722357505,0.55334556,10.690017
16,128256,16384,4526.2398,16,16,128,1,8016,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,67243081728.0,462444.1690140845,478150656.0,466944.0,4104704.0,10214530.94482422,1550102.704241424,58368.0,20625274.658203125,466944.0,3129981.6111089154,0.0407862726814044,0.4699116,10.521315
12,128256,16384,4515.0656,16,16,128,1,8016,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,67243081728.0,462444.1690140845,478150656.0,466944.0,4104704.0,10214530.94482422,1550102.704241424,58368.0,20625274.658203125,466944.0,3129981.6111089154,0.0408872134004487,0.4699116,10.492871
10,128256,16384,4510.8864,16,16,128,1,8016,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,67243081728.0,462444.1690140845,478150656.0,466944.0,4104704.0,10214530.94482422,1550102.704241424,58368.0,20625274.658203125,466944.0,3129981.6111089154,0.0409250941686816,0.4699116,10.482234
