attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa3_paged,2,"[11,29]","[99,39]",16,2,128,131.44906666666668,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,301989888,558.5454545454545,12582912,3072.0,630784,298.6666666666667,26112,1632.0,2176.0,772.3894933339435,365.0492571253485,80.0,3748.36077647355,640.0,1771.5625713436027,0.002321934290747,0.014038017,5.045807
fa2_paged,4,"[1,1,1,1]","[5,72,537,5121]",6,1,128,23.208533333333328,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,148684800,2045.0704225352115,1081344,2112.0,5777200,2542.781690140845,42016,2626.0,5500.0,15114.720775450409,2312.833320910854,40.0,15609.384364465146,320.0,2388.5260477770275,0.0353884242019417,0.11599144,2.2776654
fa2_paged,1,[1],[129],4,1,64,30.639000000000003,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,9191424,106.85714285714286,540672,528.0,357136,265.7261904761905,21008,1313.0,306.0,729.4602368456991,208.9606391059028,18.0,3604.3917585316894,144.0,1032.5113932291667,0.0020043784414414,0.0063180067,2.152092
fa2_paged,1,[1],[160],6,1,128,31.353666666666665,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,10813440,125.71428571428572,540672,528.0,420160,312.6190476190476,21008,1313.0,400.0,953.5427932623516,273.1511622299383,20.0,4004.8797317018775,160.0,1147.2348813657409,0.0023043425912217,0.0071755736,2.1139262
fa2_ragged,1,[8],[225],5,1,128,30.255133333333337,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,8650752,100.57142857142856,4325376,4224.0,51328,38.19047619047619,25664,1604.0,96.0,228.8502703829644,65.55627893518518,48.0,9611.711356084506,384.0,2753.363715277778,0.0019104087546391,0.005891038,2.0836422
fa2_paged,2,"[1,1]","[1257,87]",64,4,128,21.7366,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,147062784,2022.7605633802816,1081344,2112.0,5714176,2515.042253521127,42016,2626.0,5440.0,14949.832912445492,2287.602411955463,40.0,15609.384364465146,320.0,2388.5260477770275,0.0373726176086305,0.1151943,2.0823174
fa2_paged,1,[1],[177],7,1,128,32.38613333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,12435456,144.57142857142858,540672,528.0,483184,359.5119047619048,21008,1313.0,460.0,1096.5742122517045,314.12383656442904,20.0,4004.8797317018775,160.0,1147.2348813657409,0.0025655124389022,0.0070324894,1.7411568
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[10,285,633,1137,7233,16641,20097,10497]",32,4,128,175.59273333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2041577472,28080.676056338027,15138816,29568.0,22057408,9708.3661971831,161824,10114.0,61552.0,169152.9623946406,25883.548467037257,456.0,177946.98175490266,3648.0,27229.19694465812,0.0642246391876377,0.1678931,1.6141539
fa2_paged,1,[1],[129],4,1,64,9.87946666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,9191424,126.4225352112676,540672,1056.0,357136,157.19014084507043,21008,1313.0,306.0,840.9281013250591,128.67763567249477,18.0,7024.2229640093165,144.0,1074.8367214996624,0.0051391541879269,0.012845329,1.4994996
fa2_paged,1,[1],[447],16,1,128,10.833066666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,30277632,416.4507042253521,540672,1056.0,1176448,517.8028169014085,21008,1313.0,1120.0,3077.9067760917187,470.9769671673012,20.0,7804.692182232573,160.0,1194.2630238885138,0.0154387749980333,0.037241407,1.4121987
fa2_paged,1,[1],[177],7,1,128,9.915533333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,12435456,171.04225352112675,540672,1056.0,483184,212.66901408450704,21008,1313.0,460.0,1264.1402830376703,193.4369686579987,20.0,7804.692182232573,160.0,1194.2630238885138,0.0069276826340597,0.016703153,1.4110718
fa3_paged,2,"[7,23]","[21,705]",40,8,128,71.3252142857143,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,2264924160,4189.090909090909,50331648,12288.0,4648960,2201.212121212121,102912,6432.0,11200.0,5830.740737478074,2216.157459077381,224.0,15393.155546942116,1792.0,5850.655691964286,0.0320941302213333,0.07693193,1.3970714
fa3_paged,1,[94],[116],128,8,128,45.48307142857142,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,1610612736,2978.909090909091,12582912,3072.0,3342336,1582.5454545454545,26112,1632.0,10240.0,5330.962959979954,2026.2011054421769,80.0,5497.555552479327,640.0,2089.519889987245,0.035789561351778,0.08533605,1.3843834
