M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
3,2560,8192,1026.7022,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0174689537489625,0.20226663,10.578629
50,1024,256,3.2019999999999995,64,8,64,0,128,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,262144.0,64.0,544.0,193.09737333348588,91.26231428133713,36.0,1686.7623494130971,288.0,797.2031571046213,0.0105911616135758,0.1005465,8.493426
58,1024,256,3.0612,64,8,64,0,128,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,262144.0,64.0,544.0,193.09737333348588,91.26231428133713,36.0,1686.7623494130971,288.0,797.2031571046213,0.0110783024587318,0.1005465,8.075976
60,1024,256,3.0356,64,8,64,0,128,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,33554432.0,62.06060606060606,262144.0,64.0,544.0,193.09737333348588,91.26231428133713,36.0,1686.7623494130971,288.0,797.2031571046213,0.0111717286489227,0.1005465,8.000077
5,2560,8192,631.2006000000001,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0284147595007958,0.20226663,6.1183634
423,7168,1792,205.6662,128,256,32,1,336,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,13153337344.0,68324.76595744681,79691776.0,77824.0,26880.0,33473.968505859375,8058.214879433101,912.0,213516.09911237445,7296.0,51399.89919524114,0.1419709117518232,0.71902233,4.0645742
489,6144,1024,117.0388,128,128,32,1,576,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,6442450944.0,33465.1914893617,46137344.0,45056.0,13312.0,16577.584402901786,3990.7349879097264,704.0,164819.44492885043,5632.0,39677.11516825632,0.1221933571118518,0.5814817,3.758701
471,6144,1024,114.4916,128,128,32,1,576,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,6442450944.0,33465.1914893617,46137344.0,45056.0,13312.0,16577.584402901786,3990.7349879097264,704.0,164819.44492885043,5632.0,39677.11516825632,0.1249119051907965,0.5814817,3.6551342
459,6144,1024,110.6066,128,128,32,1,576,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,6442450944.0,33465.1914893617,46137344.0,45056.0,13312.0,16577.584402901786,3990.7349879097264,704.0,164819.44492885043,5632.0,39677.11516825632,0.1292993716861616,0.5814817,3.497173
339,8192,1024,110.4788,128,128,32,1,384,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,6442450944.0,33465.1914893617,50331648.0,49152.0,17152.0,21359.57990373884,5141.908542114455,768.0,179803.0308314732,6144.0,43284.125638097794,0.1294489430039302,0.553049,3.2723327
