seq,dim,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,fma_all_ops,fma_all_cycle,fma_sm_max_ops,fma_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
8097,768,11.5922,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1336005.0,79.072265625,10230.0,79.921875,461529.0,218.52698863636363,3534.0,220.875,12145.5,4311.147330554876,2037.5485994558453,93.0,4357.4694026505,744.0,2059.4414891869383,0.0140286178044047,0.038220845,1.7244898
8961,768,12.6036,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1478565.0,87.509765625,11220.0,87.65625,510777.0,241.84517045454547,3876.0,242.25,13441.5,4771.173425849358,2254.9676423025608,102.0,4779.159990003775,816.0,2258.742278463093,0.0142796800046697,0.03886292,1.7215527
7329,768,10.6006,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1209285.0,71.572265625,9240.0,72.1875,417753.0,197.7997159090909,3192.0,199.5,10993.5,3902.235245848671,1844.2872280365432,84.0,3935.778815297226,672.0,1860.140699910783,0.0138857993054156,0.037566304,1.7053745
6945,768,10.1968,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1145925.0,67.822265625,8745.0,68.3203125,395865.0,187.43607954545453,3021.0,188.8125,10417.5,3697.7792034955687,1747.656542326892,79.5,3724.9335216205895,636.0,1760.4903052727052,0.0136793341557522,0.03674219,1.6859623
10881,768,14.984199999999998,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1795365.0,106.259765625,13695.0,106.9921875,620217.0,293.66335227272725,4731.0,295.6875,16321.5,5793.453637614871,2738.121070850816,124.5,5833.386458386961,996.0,2756.994251653482,0.0145845105441019,0.038868822,1.6650742
6369,768,9.4486,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1050885.0,62.197265625,8085.0,63.1640625,363033.0,171.890625,2793.0,174.5625,9553.5,3391.095139965914,1602.7105137624158,73.5,3443.806463385073,588.0,1627.623112421935,0.0135381834475954,0.03536209,1.612025
8961,768,12.5716,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,1478565.0,87.509765625,11220.0,87.65625,510777.0,241.84517045454547,3876.0,242.25,13441.5,6997.669787751031,2659.685757695412,102.0,7009.383329411143,816.0,2664.137859733737,0.0143160277853937,0.037188347,1.597671
8961,768,12.559,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,1478565.0,87.509765625,11220.0,87.65625,510777.0,241.84517045454547,3876.0,242.25,13441.5,6997.669787751031,2659.685757695412,102.0,7009.383329411143,816.0,2664.137859733737,0.0143303905491564,0.037188347,1.5950675
6144,768,9.1668,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1013760.0,60.0,7755.0,60.5859375,350208.0,165.8181818181818,2679.0,167.4375,9216.0,3271.2966776496432,1546.090971354417,70.5,3303.2429342673154,564.0,1561.1895159965502,0.0134613947682776,0.03490152,1.5927105
6081,768,9.071,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,1003365.0,59.384765625,7755.0,60.5859375,346617.0,164.11789772727272,2679.0,167.4375,9121.5,3237.753108201088,1530.2374994801776,70.5,3303.2429342673154,564.0,1561.1895159965502,0.0134640726408046,0.03469444,1.576815
