M,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
31,8192,180.1222,0.1744064739051204,0.4208631,-0.24645662,-0.5855981
29,8192,179.85029999999998,0.1746701438587141,0.4208631,-0.24619295,-0.5849716
32,8192,179.8018,0.1747172596382955,0.4208631,-0.24614583,-0.5848596
28,8192,179.6127,0.1749012056164897,0.4208631,-0.24596189,-0.5844226
23,8192,179.07240000000002,0.1754289202246291,0.4208631,-0.24543417,-0.5831687
20,8192,178.78130000000002,0.1757145617244805,0.4208631,-0.24514852,-0.58248997
22,8192,178.746,0.1757492630550215,0.4208631,-0.24511383,-0.58240753
25,8192,178.5862,0.1759065245468736,0.4208631,-0.24495657,-0.5820339
24,8192,178.57659999999998,0.1759159810077741,0.4208631,-0.2449471,-0.5820114
21,8192,178.4901,0.1760012335363859,0.4208631,-0.24486186,-0.5818088
26,8192,178.44869999999997,0.176042065725516,0.4208631,-0.24482103,-0.5817118
19,8192,177.90429999999998,0.1765807671542109,0.4208631,-0.24428232,-0.5804318
17,8192,177.7479,0.1767361401964967,0.4208631,-0.24412695,-0.5800626
57,14336,186.8896,0.3361821928457536,0.57762676,-0.24144456,-0.41799405
63,14336,186.8098,0.3363258006168079,0.57762676,-0.24130097,-0.41774547
64,14336,186.573,0.3367526681141738,0.57762676,-0.24087408,-0.41700643
61,14336,186.4513,0.3369724724261282,0.57762676,-0.24065429,-0.41662595
54,14336,186.3842,0.3370937855680136,0.57762676,-0.24053296,-0.4164159
62,14336,186.3394,0.3371748301650952,0.57762676,-0.24045193,-0.41627562
58,14336,186.2406,0.337353700256903,0.57762676,-0.24027306,-0.41596594
59,14336,186.2337,0.3373661992865188,0.57762676,-0.24026057,-0.4159443
56,14336,186.0863,0.3376334289416565,0.57762676,-0.23999333,-0.41548166
32,7168,185.431,0.1694133007643429,0.40909964,-0.23968634,-0.58588743
53,14336,185.5775,0.3385591224586265,0.57762676,-0.23906764,-0.4138791
28,7168,184.6533,0.1701268148147522,0.40909964,-0.23897283,-0.58414334
55,14336,185.4246,0.3388382962566227,0.57762676,-0.23878846,-0.41339576
64,7168,187.65450000000004,0.3348118779355984,0.5735639,-0.23875201,-0.41626054
52,14336,185.2519,0.3391541762760099,0.57762676,-0.23847258,-0.41284892
26,7168,184.0678,0.1706679700307869,0.40909964,-0.23843166,-0.58282053
24,7168,183.9364,0.1707898913648026,0.40909964,-0.23830974,-0.5825225
23,7168,183.9235,0.1708018702016484,0.40909964,-0.23829778,-0.58249325
51,14336,185.1431,0.3393534814317452,0.57762676,-0.2382733,-0.4125039
48,14336,185.1079,0.339418012672964,0.57762676,-0.23820874,-0.41239214
25,7168,183.72510000000003,0.1709863147388836,0.40909964,-0.23811333,-0.5820424
