M,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
18432,16384,822089.5097,0.261383458223659,0.8106638,-0.5492804,-0.6775687
17409,16384,777206.7707,0.2630381283944839,0.8116762,-0.5486381,-0.6759322
17793,16384,795535.9156,0.2626049803534352,0.8112177,-0.5486127,-0.67628294
16257,16384,724620.4464,0.2635931374155401,0.8120711,-0.54847795,-0.67540634
16641,16384,740836.3475,0.2638661786882242,0.81212044,-0.54825425,-0.67508984
16384,16384,723150.2498,0.2641290339799385,0.8120711,-0.54794204,-0.6747464
18177,16384,810442.2213000001,0.2632986868458591,0.8109974,-0.54769874,-0.6753397
15105,16384,668509.7605999999,0.2656280430434176,0.8132729,-0.54764485,-0.6733839
15873,16384,703414.8030000001,0.2651753943197638,0.8127067,-0.5475313,-0.67371327
14337,16384,633046.1062,0.2663654029617331,0.8136914,-0.54732597,-0.6726456
13953,16384,614324.8521,0.2671956074446071,0.8141546,-0.54695904,-0.67181224
15489,16384,682920.3863000001,0.2665780993829774,0.81329423,-0.5467161,-0.6722242
17025,16384,754654.5023,0.2649667292580699,0.811624,-0.54665726,-0.6735351
18561,16384,825783.1966,0.2638283906428333,0.8103399,-0.54651153,-0.67442256
13569,16384,596653.2219,0.2676064035497613,0.81409496,-0.5464885,-0.6712835
18945,16384,843290.7306,0.2636596405688201,0.8096879,-0.54602826,-0.6743688
10497,16384,458219.305,0.2702958787602957,0.81609523,-0.5457994,-0.66879374
12288,16384,531585.8583,0.2694837163927596,0.81507814,-0.54559445,-0.66937685
19329,16384,859557.1983,0.2638782044054169,0.80936646,-0.54548824,-0.6739694
11649,16384,508636.9809,0.2699072861462295,0.8153181,-0.5454108,-0.6689546
12417,16384,542321.4942,0.2696522026226063,0.8149534,-0.5453012,-0.6691195
12801,16384,558584.5759,0.2698156574479704,0.81504273,-0.54522705,-0.66895515
19713,16384,876855.0651,0.2637780158011841,0.8087192,-0.5449412,-0.67383236
13185,16384,574895.7635,0.2699472732031977,0.81456333,-0.5446161,-0.66859883
11265,16384,488157.0757,0.2720602744756842,0.8158031,-0.54374284,-0.6665123
9216,16384,393240.2452,0.2732179648925444,0.81680965,-0.5435917,-0.66550595
8577,16384,369238.3144,0.2748127429410691,0.81699055,-0.5421778,-0.663628
10881,16384,468501.6962999999,0.2739188990553249,0.8156449,-0.541726,-0.6641689
10113,16384,433720.57350000006,0.2752419826443066,0.8164488,-0.54120684,-0.6628791
8961,16384,383228.3634,0.2764619825771019,0.8165743,-0.54011226,-0.6614368
21249,16384,934289.4516,0.2667286945979054,0.80677813,-0.54004943,-0.66939026
20097,16384,878404.7818,0.2684090219548908,0.8083914,-0.5399824,-0.66797143
9345,16384,399020.3122,0.2767396768917753,0.816711,-0.53997135,-0.6611535
20481,16384,896831.2992999998,0.2678858863390458,0.8077488,-0.5398629,-0.6683549
25857,16384,1150431.5565,0.263311584112962,0.8028615,-0.53954995,-0.67203367
20865,16384,911887.98,0.2683719185066128,0.80741566,-0.5390438,-0.6676162
24576,16384,1081477.3519,0.2649222980487621,0.80374557,-0.53882325,-0.6703903
22017,16384,966452.7060999998,0.2671161894055806,0.8058087,-0.53869253,-0.6685117
22785,16384,1003581.2727,0.266155347506442,0.80483335,-0.538678,-0.6693038
25089,16384,1110581.2219,0.2646979720765915,0.80321187,-0.5385139,-0.6704506
31233,16384,1396011.2403,0.2618857592600521,0.800258,-0.5383722,-0.6727483
41985,16384,1906388.3359,0.2575249074117494,0.79587436,-0.53834945,-0.67642516
40449,16384,1833789.4536,0.2579553297028089,0.7962982,-0.53834283,-0.6760568
28929,16384,1286837.5485,0.2632308865400544,0.8015434,-0.53831255,-0.671595
24705,16384,1091050.85,0.2653331126749334,0.8036246,-0.53829145,-0.6698295
36864,16384,1653834.3978,0.2598574552574569,0.7981203,-0.53826284,-0.67441314
31617,16384,1411740.3998999998,0.2621389476237187,0.8003193,-0.53818035,-0.67245704
21633,16384,946610.5645,0.2679861122002111,0.8061462,-0.5381601,-0.6675713
43521,16384,1977468.9352,0.25732348418742,0.79545224,-0.53812873,-0.67650664
29697,16384,1323341.5673999998,0.2627354536290128,0.8008216,-0.5380862,-0.6719177
23553,16384,1035964.8213,0.2664780453956794,0.8044202,-0.5379422,-0.6687328
28545,16384,1268209.9421,0.2635673309933626,0.8014722,-0.53790486,-0.67114604
32768,16384,1459607.2523000003,0.261721057635259,0.7995523,-0.5378313,-0.67266554
23169,16384,1018676.5983,0.2666059100462277,0.80435926,-0.53775334,-0.6685487
