M,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
1113,768,37.1542,0.3347184982177585,0.6470032,-0.31228468,-0.48266327
1152,768,36.8918,0.3370992477049709,0.6470032,-0.30990392,-0.4789836
849,1024,41.5574,0.3724043742887379,0.6728844,-0.30048004,-0.4465552
896,1024,41.3398,0.3743645964437853,0.6728844,-0.29851982,-0.44364205
768,1152,45.8006,0.3801408111918871,0.6734323,-0.29329148,-0.4355174
1881,384,30.2742,0.2738569040411142,0.5655574,-0.2917005,-0.51577526
1833,384,30.082,0.2756066313516886,0.5655574,-0.2899508,-0.5126814
1377,512,31.0996,0.2606644044797617,0.54992723,-0.28926283,-0.526002
1737,384,30.6962,0.2520858859413672,0.53203374,-0.27994785,-0.5261844
736,1152,44.1172,0.3946460164533367,0.6734323,-0.27878627,-0.4139782
753,1152,43.9128,0.3964829670864792,0.6734323,-0.27694932,-0.4112504
363,2304,44.71939999999999,0.3893316376578207,0.6662361,-0.27690446,-0.41562513
384,2304,44.5976,0.3903949368816964,0.6662361,-0.27584118,-0.41402915
327,2304,44.5656,0.3906752570833814,0.6662361,-0.27556086,-0.4136084
256,2752,30.7732,0.2574421491036388,0.53239864,-0.2749565,-0.51644856
339,2304,44.4378,0.3917988117565483,0.6662361,-0.27443728,-0.41192195
375,2304,44.4116,0.3920299479657374,0.6662361,-0.27420616,-0.41157505
896,768,33.48720000000001,0.2888446470604214,0.56236595,-0.2735213,-0.48637602
351,2304,44.2198,0.3937303478775378,0.6662361,-0.27250576,-0.4090228
237,2752,30.3636,0.260915001607059,0.53239864,-0.27148363,-0.5099255
1785,384,29.678800000000003,0.2607274813009083,0.53203374,-0.27130625,-0.5099418
249,2752,30.2868,0.2615766189493805,0.53239864,-0.27082202,-0.5086828
1737,18944,1999.5932,0.3340950219202335,0.6033993,-0.26930425,-0.44631186
1536,18944,1684.359,0.3399618662829429,0.6058463,-0.26588443,-0.4388645
1473,18944,1679.0277999999998,0.3410413032651821,0.6058463,-0.264805,-0.4370828
225,2752,29.353,0.2698980936461724,0.53239864,-0.26250055,-0.49305263
256,3584,45.8716,0.3936099271606962,0.65502113,-0.2614112,-0.39908817
256,151936,696.8212000000001,0.2746131140002761,0.5359436,-0.26133052,-0.48760822
240,151936,690.4278,0.2771560467776778,0.5359436,-0.25878757,-0.48286343
224,151936,685.0138,0.2793465469358562,0.5359436,-0.25659707,-0.47877625
249,3584,45.0774,0.4005447770888427,0.65502113,-0.25447637,-0.38850102
195,3584,44.9686,0.4015138815694639,0.65502113,-0.25350726,-0.38702148
225,3584,44.7958,0.4030627231737036,0.65502113,-0.2519584,-0.3846569
207,3584,44.7832,0.4031761270910652,0.65502113,-0.251845,-0.38448378
256,151936,781.9102,0.2796904878531125,0.5313702,-0.25167975,-0.47364292
219,3584,44.745000000000005,0.4035203293048294,0.65502113,-0.25150082,-0.3839583
248,151936,779.4652,0.2805678114883446,0.5313702,-0.2508024,-0.4719918
62,9728,35.726800000000004,0.2449533294677454,0.49571136,-0.25075802,-0.5058549
64,9728,35.5988,0.245834090228554,0.49571136,-0.24987726,-0.50407815
60,9728,35.5476,0.2461881705439536,0.49571136,-0.2495232,-0.5033639
240,151936,775.8494000000001,0.2818753810924192,0.5313702,-0.24949485,-0.46953112
237,3584,44.5078,0.4056708517326085,0.65502113,-0.24935028,-0.38067517
1473,28672,2874.022,0.3446299585807885,0.5933841,-0.24875411,-0.41921264
232,151936,773.3149999999999,0.28279917665547,0.5313702,-0.24857104,-0.46779257
224,151936,770.9854,0.2836536791686649,0.5313702,-0.24771655,-0.46618447
58,9728,35.1956,0.248650360023078,0.49571136,-0.247061,-0.4983969
208,151936,764.3163999999999,0.2861286834815069,0.5313702,-0.24524155,-0.46152672
56,9728,34.9204,0.2506099188791723,0.49571136,-0.24510145,-0.4944439
2721,512,38.683400000000006,0.4191233817895426,0.66364366,-0.24452028,-0.36845115
54,9728,34.715999999999994,0.2520854537166796,0.49571136,-0.24362591,-0.49146727
