weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,993,128,8,4096,3072,4026.8952,0.3283128994978301,0.5789736,-0.2506607,-0.43293977
w13,609,128,8,4096,3072,3904.3938,0.3386138045516552,0.5789736,-0.24035978,-0.4151481
w13,501,128,8,4096,3072,3858.1094,0.3426760368915133,0.5789736,-0.23629755,-0.40813184
w13,489,128,8,4096,3072,3848.3494,0.3435451154944232,0.5789736,-0.23542848,-0.40663078
w13,416,128,8,4096,3072,3822.1416,0.3459007481789514,0.5789736,-0.23307285,-0.40256214
w13,681,128,6,4096,2048,2599.9036,0.3390078614417073,0.55838794,-0.21938008,-0.39288113
w13,609,128,6,4096,2048,2571.2574,0.3427847244661682,0.55838794,-0.2156032,-0.38611722
w13,489,128,6,4096,2048,2552.4028,0.3453168752951518,0.55838794,-0.21307105,-0.38158247
w13,297,128,6,4096,2048,2500.0260000000003,0.3525514372212913,0.55838794,-0.2058365,-0.36862636
w13,267,128,6,4096,2048,2486.2149999999997,0.3545098711859579,0.55838794,-0.20387807,-0.36511904
w13,471,60,6,3584,2304,1248.5534,0.3257329926465243,0.5232585,-0.1975255,-0.37749124
w13,489,64,8,3584,2560,1502.4218,0.3208213105778499,0.51827216,-0.19745085,-0.38097906
w13,459,64,8,3584,2560,1498.6776,0.3216228299647184,0.51827216,-0.19664934,-0.3794326
w13,423,60,6,3584,2304,1239.9906,0.3279823536250943,0.5232585,-0.19527614,-0.3731925
w13,447,64,8,3584,2560,1490.8502,0.3233114439778941,0.51827216,-0.19496071,-0.3761744
w13,608,64,6,3072,2048,1026.5788,0.3219630190799514,0.5162329,-0.1942699,-0.37632218
w13,393,60,6,3584,2304,1232.5662,0.3299579653092815,0.5232585,-0.19330055,-0.36941692
w13,561,64,6,3072,2048,1023.0074,0.3230870175244809,0.5162329,-0.1931459,-0.37414488
w13,393,64,8,3584,2560,1479.977,0.3256867714273481,0.51827216,-0.19258538,-0.3715912
w13,849,128,8,4096,1536,1986.2964,0.3328006935636328,0.5247293,-0.19192863,-0.3657669
w13,544,64,6,3072,2048,1017.6762,0.3247795416375794,0.5162329,-0.19145337,-0.37086627
w13,459,64,6,3072,2048,1008.4412,0.327753774609242,0.5162329,-0.18847913,-0.36510482
w13,327,64,8,3584,2560,1457.9994000000002,0.3305961106134422,0.51827216,-0.18767604,-0.3621187
w13,416,64,6,3072,2048,1001.7214,0.3299524296590584,0.5162329,-0.18628049,-0.36084583
w13,279,60,6,3584,2304,1206.5828,0.3370635114813446,0.5232585,-0.18619499,-0.35583746
w13,267,60,6,3584,2304,1199.3636,0.3390923615332272,0.5232585,-0.18416613,-0.35196012
w13,544,128,8,4096,1536,1937.2664,0.3412234990205514,0.5247293,-0.1835058,-0.34971517
w13,435,128,8,4096,1536,1914.1622,0.3453421134023789,0.5247293,-0.17938721,-0.3418662
w13,393,128,8,4096,1536,1902.0602,0.3475393783766398,0.5247293,-0.17718995,-0.33767876
w13,309,128,8,4096,1536,1885.5802,0.3505768778983504,0.5247293,-0.17415243,-0.33189005
w13,309,32,6,3072,1024,259.8974,0.317933547787967,0.49183202,-0.17389846,-0.35357288
w13,339,32,6,3072,1024,259.4938,0.3184280412205162,0.49183202,-0.17340398,-0.3525675
w13,320,32,6,3072,1024,258.64279999999997,0.3194757497323274,0.49183202,-0.17235628,-0.35043728
w13,288,32,6,3072,1024,258.2392,0.3199750558508096,0.49183202,-0.17185697,-0.3494221
w13,279,32,6,3072,1024,256.7994,0.3217690634902901,0.49183202,-0.17006296,-0.34577447
w13,297,32,4,2048,768,164.0066,0.2519109061552047,0.42082113,-0.16891024,-0.4013825
w13,320,32,4,2048,768,162.43220000000002,0.2543525927829223,0.42082113,-0.16646853,-0.39558026
w13,896,128,4,2048,512,345.9704,0.3184476762284419,0.47156322,-0.15311554,-0.3246978
w13,480,60,8,2048,1536,483.2426,0.3206079970606446,0.47154817,-0.15094018,-0.32009494
w13,825,128,4,2048,512,341.1832,0.3229158701947356,0.47156322,-0.14864734,-0.3152225
w13,435,60,8,2048,1536,479.006,0.3234436355293634,0.47154817,-0.14810455,-0.3140815
w13,339,32,4,2048,768,151.0594,0.2735020212011579,0.42082113,-0.14731911,-0.35007536
w13,561,128,4,2048,512,339.4874,0.3245288924532237,0.47156322,-0.14703432,-0.3118019
w13,339,60,8,2048,1536,476.40739999999994,0.3252078831696953,0.47154817,-0.14634028,-0.31034005
w13,375,32,4,2048,768,150.3428,0.2748056522921895,0.42082113,-0.14601547,-0.3469775
w13,288,60,8,2048,1536,474.5064,0.3265107532382666,0.47154817,-0.14503741,-0.30757707
w13,435,128,4,2048,512,337.1322,0.3267960459541525,0.47156322,-0.14476717,-0.30699417
w13,327,32,4,2048,768,147.4758,0.280148005445193,0.42082113,-0.14067313,-0.3342825
w13,384,128,4,2048,512,332.057,0.3317908368859097,0.47156322,-0.13977239,-0.29640222
w13,279,60,8,2048,1536,464.561,0.333500750343611,0.47154817,-0.13804743,-0.2927536
w13,921,128,8,2048,768,502.942,0.3285870038408739,0.46577507,-0.13718808,-0.2945372
w13,681,60,4,2048,1408,444.721,0.3193473853802273,0.45305908,-0.1337117,-0.29513082
w13,832,128,8,2048,768,497.438,0.3322227189835453,0.46577507,-0.13355234,-0.28673142
w13,753,60,4,2048,1408,442.01360000000005,0.3213034363053083,0.45305908,-0.13175565,-0.2908134
w13,585,64,6,3584,1536,896.493,0.322596337673623,0.4542145,-0.13161817,-0.28977096
w13,512,60,4,2048,1408,441.5338,0.3216525859938244,0.45305908,-0.13140649,-0.29004273
w13,544,128,8,2048,768,491.7292000000001,0.3360797058334887,0.46577507,-0.12969536,-0.2784506
w13,435,60,4,2048,1408,431.038,0.3294848448946034,0.45305908,-0.12357423,-0.2727552
w13,416,60,4,2048,1408,429.2266,0.3308753198745838,0.45305908,-0.12218377,-0.26968616
w13,405,64,6,3584,1536,869.9206,0.3324502932222083,0.4542145,-0.12176421,-0.26807645
w13,288,128,8,2048,768,479.563,0.3446058284015589,0.46577507,-0.12116924,-0.2601454
w13,279,128,8,2048,768,478.9168,0.3450708032913792,0.46577507,-0.12070426,-0.2591471
w13,320,64,6,3584,1536,856.9606,0.3374780107160579,0.4542145,-0.1167365,-0.25700742
w13,279,64,6,3584,1536,852.1479999999999,0.3393839550759251,0.4542145,-0.11483055,-0.25281128
w13,309,64,6,3584,1536,850.2212,0.3401530784577465,0.4542145,-0.114061445,-0.251118
