weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,1833,128,8,4096,1536,13562.5668,0.2031237534290662,0.5786276,-0.37550384,-0.648956
w13,849,64,6,3072,2048,5726.8048,0.2405250022271092,0.6142289,-0.3737039,-0.60841143
w13,753,64,6,3072,2048,5677.6846,0.2426058920698448,0.6142289,-0.371623,-0.6050236
w13,681,64,6,3072,2048,5674.2158,0.2427542035454872,0.6142289,-0.37147468,-0.60478216
w13,1521,128,8,4096,1536,13297.8924,0.2071666239793337,0.5786276,-0.37146097,-0.641969
w13,561,64,6,3072,2048,5623.5982,0.2449392165454174,0.6142289,-0.3692897,-0.6012249
w13,576,64,6,3072,2048,5609.441199999999,0.2455573894373329,0.6142289,-0.36867154,-0.6002185
w13,993,128,8,4096,1536,12769.5508,0.2157381663377258,0.5786276,-0.3628894,-0.62715536
w13,1152,128,8,4096,1536,11325.942,0.2432362336438276,0.5786276,-0.33539134,-0.57963246
w13,6144,128,8,4096,3072,62601.5804,0.2640392900894023,0.5352742,-0.27123493,-0.50672144
w13,4096,128,8,4096,3072,39026.9374,0.2823567164712688,0.5463281,-0.26397142,-0.48317376
w13,7905,64,8,3584,2560,55471.500199999995,0.2897006608845822,0.53577393,-0.24607328,-0.45928565
w13,405,64,6,3584,1536,5111.9854,0.1178856819617425,0.35411465,-0.23622897,-0.66709745
w13,416,64,6,3584,1536,5109.6178,0.1179403056442834,0.35411465,-0.23617435,-0.66694313
w13,4929,128,8,4096,3072,55036.0262,0.3003355799567273,0.5352742,-0.23493862,-0.43891266
w13,3777,128,6,4096,2048,22702.5642,0.3235909917815585,0.5569559,-0.23336488,-0.41900066
w13,384,128,8,4096,1536,10783.6542,0.1277340418866751,0.35745883,-0.2297248,-0.64266086
w13,459,60,6,3584,2304,6266.0062,0.1352453618482007,0.35107544,-0.21583007,-0.6147684
w13,435,60,6,3584,2304,6170.0,0.1373498015983904,0.35107544,-0.21372564,-0.6087741
w13,7137,32,6,3072,1024,17660.0308,0.2047436582242442,0.4145332,-0.20978954,-0.50608623
w13,1329,64,6,3584,1536,2982.0338,0.4041737454870373,0.6102207,-0.20604694,-0.33765972
w13,1024,64,6,3584,1536,2886.737,0.4175163065131816,0.6102207,-0.19270435,-0.31579453
w13,5889,32,6,3072,1024,14211.2444,0.218083604900004,0.406661,-0.1885774,-0.46372136
w13,993,16,2,1536,768,175.90640000000002,0.3670559325000628,0.5448817,-0.17782578,-0.32635668
w13,1377,128,8,2048,768,1590.6514,0.43297976453993,0.61014,-0.17716026,-0.29036
w13,825,64,8,3584,2560,4703.8018,0.4270516422534862,0.59999865,-0.17294702,-0.28824568
w13,681,16,2,1536,768,173.5318,0.372078706523698,0.5448817,-0.17280298,-0.31713852
w13,3969,32,6,3072,1024,9569.1824,0.2159180920108002,0.3873551,-0.171437,-0.44258356
w13,768,64,8,3584,2560,4681.3368,0.4291009960071457,0.59999865,-0.17089766,-0.28483006
w13,681,60,6,3584,2304,3957.1694,0.428310335090567,0.5964929,-0.16818255,-0.28195232
w13,777,16,2,1536,768,170.9976,0.3775929468292482,0.5448817,-0.16728875,-0.3070185
