weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,1737,60,4,2048,1408,261.5772,0.3422701009293193,0.51974434,-0.17747423,-0.3414645
w13,849,60,8,2048,1536,289.37919999999997,0.33751268412384,0.5138459,-0.17633325,-0.34316367
w13,777,60,8,2048,1536,288.3552,0.3387112509904781,0.5138459,-0.17513466,-0.34083107
w13,1545,60,4,2048,1408,259.7344,0.3446984867803754,0.51974434,-0.17504585,-0.33679223
w13,753,60,8,2048,1536,287.62579999999997,0.3395702003144695,0.5138459,-0.17427573,-0.3391595
w13,768,60,8,2048,1536,287.4912,0.3397291830901591,0.5138459,-0.17411673,-0.33885008
w13,1536,60,4,2048,1408,258.64639999999997,0.3461484661870753,0.51974434,-0.17359588,-0.33400244
w13,681,60,8,2048,1536,285.77619999999996,0.3417679657074646,0.5138459,-0.17207795,-0.3348824
w13,3777,128,4,2048,512,209.219,0.3319661127751309,0.5030083,-0.1710422,-0.34003854
w13,1024,60,4,2048,1408,252.52799999999996,0.3545351590509122,0.51974434,-0.16520917,-0.31786624
w13,825,60,4,2048,1408,250.4414,0.3574890359373839,0.51974434,-0.16225529,-0.31218287
w13,608,32,4,2048,768,87.3112,0.2983020140115191,0.45480776,-0.15650573,-0.34411404
w13,576,32,4,2048,768,87.2086,0.298652963191274,0.45480776,-0.15615478,-0.3433424
w13,2048,128,4,2048,512,199.734,0.3477305724047989,0.5030083,-0.15527773,-0.30869815
w13,585,32,4,2048,768,86.92760000000001,0.2996183813399029,0.45480776,-0.15518937,-0.3412197
w13,544,32,4,2048,768,86.8502,0.2998853981425782,0.45480776,-0.15492237,-0.34063265
w13,537,32,4,2048,768,86.78,0.3001279880820758,0.45480776,-0.15467978,-0.34009925
w13,1977,128,8,2048,768,304.5158,0.3421182980424995,0.48730135,-0.14518306,-0.2979328
w13,1881,128,8,2048,768,303.3958,0.3433812439824485,0.48730135,-0.1439201,-0.29534104
w13,832,128,4,2048,512,193.238,0.359420083775966,0.5030083,-0.14358822,-0.28545892
