weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,459,128,8,4096,3072,9844.642199999998,0.2313521316280915,0.6486886,-0.41733646,-0.64335406
w13,459,128,6,4096,2048,6528.9364000000005,0.2325625307143814,0.6432819,-0.41071934,-0.6384749
w13,2025,128,8,4096,1536,5212.823600000001,0.4369184788999697,0.8414086,-0.40449014,-0.48072973
w13,896,64,6,3072,2048,2593.9896,0.4390108113937436,0.83681536,-0.39780456,-0.47537914
w13,993,64,8,3584,2560,3816.7392,0.435118715194795,0.83277655,-0.39765784,-0.47750846
w13,1024,60,6,3584,2304,3209.8258,0.4365485712000657,0.8333797,-0.39683113,-0.47617087
w13,849,64,6,3072,2048,2588.2038,0.4399921980807432,0.83681536,-0.39682317,-0.47420636
w13,1329,128,8,4096,1536,5118.184200000001,0.4449974579042826,0.8414086,-0.39641115,-0.471128
w13,1233,128,8,4096,1536,5103.5792,0.4462709147505469,0.8414086,-0.3951377,-0.4696145
w13,753,64,6,3072,2048,2576.1394,0.442052739476339,0.83681536,-0.3947626,-0.47174397
w13,960,64,6,3584,1536,2272.5366000000004,0.4384707353723436,0.8298486,-0.39137787,-0.47162563
w13,561,64,6,3072,2048,2555.9982,0.4455361036807194,0.83681536,-0.39127925,-0.46758133
w13,921,64,6,3584,1536,2271.609,0.4386497826705942,0.8298486,-0.3911988,-0.47140986
w13,1593,128,6,4096,2048,6793.9858,0.4469794364472304,0.8363052,-0.38932577,-0.46553072
w13,608,60,6,3584,2304,3155.06,0.4441262184526152,0.8333797,-0.38925347,-0.46707818
w13,1977,128,8,4096,3072,10362.6946,0.43957272620692,0.8286374,-0.3890647,-0.46952346
w13,736,128,8,4096,1536,5031.1485999999995,0.4526956246304998,0.8414086,-0.38871297,-0.46197885
w13,576,64,8,3584,2560,3738.9136,0.4441757244504418,0.83277655,-0.38860083,-0.46663278
w13,585,60,6,3584,2304,3149.2932,0.4449394761945658,0.8333797,-0.38844022,-0.46610233
w13,729,64,6,3584,1536,2250.802,0.4427047755255974,0.8298486,-0.38714382,-0.46652344
w13,1377,128,6,4096,2048,6760.5836,0.449187839954303,0.8363052,-0.38711736,-0.46289006
w13,544,64,8,3584,2560,3725.3134,0.4457973004197739,0.83277655,-0.38697925,-0.4646856
w13,608,128,8,4096,1536,5006.4512,0.4549288242509712,0.8414086,-0.3864798,-0.45932475
w13,1641,128,8,4096,3072,10269.5474,0.4435597537795803,0.8286374,-0.38507766,-0.46471187
w13,608,64,6,3584,1536,2237.477,0.4453412455916042,0.8298486,-0.38450733,-0.46334636
w13,544,128,8,2048,768,1295.0344,0.4396753781378055,0.82194895,-0.38227355,-0.46508187
w13,608,128,6,4096,2048,6617.9108,0.4588716946916973,0.8363052,-0.3774335,-0.45131072
w13,1536,60,4,2048,1408,1167.9008,0.4189770263675305,0.79509217,-0.37611514,-0.47304597
w13,753,60,8,2048,1536,1262.6104,0.4227809055757615,0.797462,-0.3746811,-0.46984193
w13,768,60,8,2048,1536,1262.5276,0.4228086326994947,0.797462,-0.37465334,-0.46980715
w13,576,60,8,2048,1536,1243.8647999999998,0.429152403300885,0.797462,-0.3683096,-0.46185222
w13,459,64,6,3072,2048,2507.9142,0.2270391624727298,0.59403354,-0.36699438,-0.6178008
w13,993,60,4,2048,1408,1139.4202,0.4294496484056189,0.79509217,-0.36564252,-0.4598744
w13,2049,128,8,4096,3072,10411.2912,0.4648659991310648,0.82860106,-0.36373505,-0.4389749
w13,768,60,4,2048,1408,1130.3196,0.4329072983218728,0.79509217,-0.36218485,-0.4555256
w13,561,60,4,2048,1408,1118.7354,0.4373899353468746,0.79509217,-0.35770223,-0.44988775
