weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,2048,128,8,2048,768,985.2424,0.2872314418172697,0.5017572,-0.21452576,-0.42754894
w13,2025,128,8,2048,768,982.5992,0.2880040967787345,0.5017572,-0.2137531,-0.42600903
w13,1929,128,8,2048,768,981.3254,0.288377937727391,0.5017572,-0.21337926,-0.42526397
w13,1977,128,8,2048,768,980.647,0.2885774341750977,0.5017572,-0.21317977,-0.42486638
w13,1881,128,8,2048,768,977.601,0.289476581029998,0.5017572,-0.21228063,-0.4230744
w13,1833,128,8,2048,768,976.0262,0.28994364607375,0.5017572,-0.21181357,-0.42214355
w13,1785,128,8,2048,768,975.3478,0.2901453154367161,0.5017572,-0.2116119,-0.42174163
w13,1881,60,4,2048,1408,845.3224,0.2876970507427271,0.4992949,-0.21159786,-0.42379335
w13,1833,60,4,2048,1408,843.8954,0.2881835372094266,0.4992949,-0.21111137,-0.422819
w13,1737,128,8,2048,768,972.3912,0.291027515563188,0.5017572,-0.21072969,-0.4199834
w13,1689,128,8,2048,768,971.2072,0.2913823075977064,0.5017572,-0.21037489,-0.41927627
w13,1785,60,4,2048,1408,841.5082,0.2890010595342552,0.4992949,-0.21029386,-0.42118165
w13,1737,60,4,2048,1408,840.0554,0.2895008607846149,0.4992949,-0.20979404,-0.42018062
w13,1641,128,8,2048,768,968.2758,0.2922644509875255,0.5017572,-0.20949274,-0.41751817
w13,1689,60,4,2048,1408,838.9354,0.2898873517636328,0.4992949,-0.20940757,-0.41940656
w13,1545,128,8,2048,768,966.9192,0.2926745017489642,0.5017572,-0.2090827,-0.41670093
w13,1641,60,4,2048,1408,837.7448,0.2902993386610862,0.4992949,-0.20899558,-0.41858143
w13,1593,128,8,2048,768,966.49,0.2928044729811039,0.5017572,-0.20895272,-0.41644192
w13,1521,128,8,2048,768,966.2918,0.2928645312849671,0.5017572,-0.20889267,-0.41632223
w13,2049,128,8,2048,768,982.401,0.306066089391935,0.51495177,-0.20888567,-0.40564123
w13,1593,60,4,2048,1408,836.3566000000001,0.2907811828193427,0.4992949,-0.20851374,-0.4176164
w13,1536,128,8,2048,768,964.7048,0.2933463118370585,0.5017572,-0.20841089,-0.41536203
w13,1425,128,8,2048,768,964.3784,0.293445596761092,0.5017572,-0.20831162,-0.41516417
w13,1473,128,8,2048,768,963.3736,0.2937516609252185,0.5017572,-0.20800555,-0.41455418
w13,1545,60,4,2048,1408,834.5964,0.291394452943679,0.4992949,-0.20790046,-0.41638812
w13,1377,128,8,2048,768,962.6182,0.293982178075905,0.5017572,-0.20777503,-0.41409475
w13,1536,60,4,2048,1408,833.9304,0.2916271686543192,0.4992949,-0.20766774,-0.41592202
w13,1329,128,8,2048,768,960.5384,0.2946187212208352,0.5017572,-0.20713848,-0.41282612
w13,1521,60,4,2048,1408,831.6332,0.2924327232327472,0.4992949,-0.20686218,-0.4143086
w13,1473,60,4,2048,1408,831.4922,0.2924823124098625,0.4992949,-0.20681259,-0.4142093
w13,1233,128,8,2048,768,958.6632,0.2951950122749127,0.5017572,-0.20656219,-0.41167757
w13,1425,60,4,2048,1408,830.1992,0.2929378411913236,0.4992949,-0.20635706,-0.41329694
w13,1281,128,8,2048,768,957.94,0.2954178707346045,0.5017572,-0.20633933,-0.41123343
w13,1377,60,4,2048,1408,830.1288000000001,0.2929626841121088,0.4992949,-0.20633224,-0.41324723
w13,1329,60,4,2048,1408,828.1450000000001,0.2936644686700564,0.4992949,-0.20563045,-0.4118417
w13,1152,128,8,2048,768,955.265,0.2962451205597474,0.5017572,-0.20551208,-0.4095847
w13,1281,60,4,2048,1408,827.7675999999999,0.293798357663146,0.4992949,-0.20549655,-0.4115735
w13,1185,128,8,2048,768,954.0806,0.2966128806009755,0.5017572,-0.20514432,-0.40885177
w13,1233,60,4,2048,1408,826.3528,0.2943013703187839,0.4992949,-0.20499355,-0.41056606
w13,1113,128,8,2048,768,952.4166,0.2971311032288886,0.5017572,-0.20462611,-0.40781897
w13,1185,60,4,2048,1408,824.9577999999999,0.2947990326375045,0.4992949,-0.20449588,-0.40956932
w13,993,128,8,2048,768,951.8214,0.2973169074487158,0.5017572,-0.2044403,-0.40744865
w13,1024,128,8,2048,768,951.4118,0.2974449077586668,0.5017572,-0.2043123,-0.40719354
w13,1065,128,8,2048,768,950.6634,0.2976790682080609,0.5017572,-0.20407814,-0.40672687
w13,1113,60,4,2048,1408,822.7239999999999,0.2955994493982963,0.4992949,-0.20369545,-0.4079662
w13,1152,60,4,2048,1408,822.2059999999999,0.295785680725711,0.4992949,-0.20350921,-0.4075932
w13,921,128,8,2048,768,948.2116,0.2984487798836326,0.5017572,-0.20330843,-0.40519285
w13,1024,60,4,2048,1408,820.5418,0.2963855849961134,0.4992949,-0.20290932,-0.40639174
w13,993,60,4,2048,1408,820.3113999999999,0.2964688305035916,0.4992949,-0.20282608,-0.40622503
w13,1065,60,4,2048,1408,820.2603999999999,0.2964872635650386,0.4992949,-0.20280764,-0.40618807
w13,960,128,8,2048,768,946.2022,0.2990825799089319,0.5017572,-0.20267463,-0.40392968
w13,960,60,4,2048,1408,817.4506,0.297506370913134,0.4992949,-0.20178854,-0.404147
w13,832,128,8,2048,768,943.0984,0.3000668807109705,0.5017572,-0.20169032,-0.40196794
w13,896,128,8,2048,768,942.964,0.3001096490337988,0.5017572,-0.20164755,-0.4018827
w13,825,128,8,2048,768,942.4392,0.3002767659616738,0.5017572,-0.20148045,-0.4015497
w13,849,128,8,2048,768,942.4068,0.3002870894941623,0.5017572,-0.2014701,-0.40152907
w13,777,128,8,2048,768,942.0552,0.3003991646046931,0.5017572,-0.20135805,-0.40130574
w13,921,60,4,2048,1408,815.8314,0.2980968388894616,0.4992949,-0.20119807,-0.40296438
w13,896,60,4,2048,1408,815.7484000000001,0.2981271693659024,0.4992949,-0.20116773,-0.40290365
w13,768,128,8,2048,768,940.2308,0.3009820515255479,0.5017572,-0.20077515,-0.400144
w13,736,128,8,2048,768,939.2838,0.301285506139366,0.5017572,-0.2004717,-0.39953926
w13,825,60,4,2048,1408,813.6236,0.2989057365184145,0.4992949,-0.20038918,-0.40134433
w13,849,60,4,2048,1408,813.265,0.2990375356209402,0.4992949,-0.20025736,-0.4010803
w13,832,60,4,2048,1408,812.9258,0.2991623115009561,0.4992949,-0.20013261,-0.40083045
w13,753,128,8,2048,768,937.8694,0.3017398745406419,0.5017572,-0.20001733,-0.39863372
w13,657,128,8,2048,768,937.7796,0.3017687685800663,0.5017572,-0.19998842,-0.39857608
w13,729,128,8,2048,768,937.4022,0.3018902612896653,0.5017572,-0.19986695,-0.398334
w13,672,128,8,2048,768,936.967,0.3020304824945885,0.5017572,-0.19972673,-0.39805454
w13,777,60,4,2048,1408,811.6714,0.299624652792699,0.4992949,-0.19967026,-0.39990446
w13,681,128,8,2048,768,936.6534,0.3021316050222069,0.5017572,-0.19962561,-0.39785302
w13,576,128,8,2048,768,936.4612,0.302193614739732,0.5017572,-0.1995636,-0.3977294
w13,768,60,4,2048,1408,810.5132,0.300052807784949,0.4992949,-0.19924209,-0.3990469
w13,729,60,4,2048,1408,810.0904,0.3002094104642691,0.4992949,-0.1990855,-0.3987333
w13,609,128,8,2048,768,934.6886,0.3027667129903019,0.5017572,-0.1989905,-0.39658722
w13,753,60,4,2048,1408,809.7,0.3003541575975842,0.4992949,-0.19894075,-0.3984434
w13,736,60,4,2048,1408,809.3608,0.3004800348704359,0.4992949,-0.19881487,-0.39819127
w13,608,128,8,2048,768,932.3848,0.3035148096488779,0.5017572,-0.1982424,-0.39509627
w13,561,128,8,2048,768,932.0968,0.3036085898927097,0.5017572,-0.19814861,-0.39490935
w13,672,60,4,2048,1408,807.505,0.3011705951130506,0.4992949,-0.19812432,-0.3968082
w13,544,128,8,2048,768,931.9174,0.303667036468583,0.5017572,-0.19809017,-0.39479285
w13,681,60,4,2048,1408,807.3388,0.3012325945523291,0.4992949,-0.1980623,-0.396684
w13,657,60,4,2048,1408,805.8988,0.3017708444369987,0.4992949,-0.19752407,-0.395606
w13,585,128,8,2048,768,930.0422,0.3042793059191369,0.5017572,-0.1974779,-0.39357263
w13,537,128,8,2048,768,928.9668,0.3046315488255415,0.5017572,-0.19712564,-0.39287058
w13,585,60,4,2048,1408,804.74,0.3022053848531997,0.4992949,-0.19708952,-0.3947357
w13,609,60,4,2048,1408,804.3948,0.302335074029275,0.4992949,-0.19695982,-0.39447594
w13,608,60,4,2048,1408,803.767,0.3025712195285001,0.4992949,-0.1967237,-0.394003
w13,1329,64,6,3072,2048,1890.1864,0.2994335321548257,0.49601614,-0.19658262,-0.39632303
w13,576,60,4,2048,1408,803.3256,0.3027374720869893,0.4992949,-0.19655743,-0.39367002
w13,561,60,4,2048,1408,802.6346,0.3029981032549107,0.4992949,-0.19629681,-0.39314803
w13,537,60,4,2048,1408,802.4424,0.30307067698163,0.4992949,-0.19622424,-0.3930027
w13,1281,64,6,3072,2048,1886.6278,0.2999983304513027,0.49601614,-0.1960178,-0.3951843
w13,1233,64,6,3072,2048,1884.8872,0.3002753640552147,0.49601614,-0.19574079,-0.39462584
w13,544,60,4,2048,1408,801.0984000000001,0.3035791376025266,0.4992949,-0.19571576,-0.39198428
w13,1185,64,6,3072,2048,1883.4919999999995,0.3004977935574,0.49601614,-0.19551834,-0.39417738
w13,1152,64,6,3072,2048,1880.369,0.3009968735833309,0.49601614,-0.19501927,-0.39317122
w13,2721,128,6,4096,2048,5077.263400000001,0.2972652237203289,0.4921438,-0.19487858,-0.39597893
