weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,1689,60,4,2048,1408,838.9354,0.2898873517636328,0.4992949,-0.20940757,-0.41940656
w13,1536,128,8,2048,768,964.7048,0.2933463118370585,0.5017572,-0.20841089,-0.41536203
w13,1425,128,8,2048,768,964.3784,0.293445596761092,0.5017572,-0.20831162,-0.41516417
w13,1024,60,4,2048,1408,820.5418,0.2963855849961134,0.4992949,-0.20290932,-0.40639174
w13,608,128,8,2048,768,932.3848,0.3035148096488779,0.5017572,-0.1982424,-0.39509627
w13,608,60,4,2048,1408,803.767,0.3025712195285001,0.4992949,-0.1967237,-0.394003
w13,544,60,4,2048,1408,801.0984000000001,0.3035791376025266,0.4992949,-0.19571576,-0.39198428
w13,896,64,6,3072,2048,1865.6998,0.3033634833337144,0.49601614,-0.19265267,-0.38840002
w13,1329,64,6,3584,1536,1668.169,0.296874622061756,0.4894512,-0.19257659,-0.3934541
w13,1185,64,6,3584,1536,1658.7926,0.2985527192550397,0.4894512,-0.19089848,-0.39002556
w13,1929,128,6,4096,2048,5001.1734,0.3017879445027917,0.4921438,-0.19035587,-0.3867891
w13,1881,128,6,4096,2048,4992.0726,0.3023381191387396,0.4921438,-0.18980569,-0.3856712
w13,1833,128,6,4096,2048,4991.0808,0.302398198099305,0.4921438,-0.1897456,-0.3855491
w13,1065,64,6,3584,1536,1651.7204000000002,0.2998310376321182,0.4894512,-0.18962017,-0.38741383
w13,585,64,6,3072,2048,1841.7764,0.3073039649020447,0.49601614,-0.18871218,-0.38045573
w13,1689,128,8,4096,3072,7602.6754,0.2977821150607136,0.48477316,-0.18699104,-0.38572893
w13,1281,128,6,4096,2048,4939.464,0.3055582226103961,0.4921438,-0.18658558,-0.37912816
w13,1113,128,6,4096,2048,4921.8638,0.3066508749161319,0.4921438,-0.18549293,-0.37690797
w13,609,64,6,3584,1536,1622.517,0.3052276440925657,0.4894512,-0.18422356,-0.376388
w13,576,64,6,3584,1536,1621.3784,0.3054419877618559,0.4894512,-0.18400922,-0.3759501
w13,1065,60,6,3584,2304,2328.0926,0.2991406310397644,0.48309788,-0.18395725,-0.38078672
w13,736,60,8,2048,1536,906.239,0.2927545138735895,0.4761852,-0.1834307,-0.38520873
w13,960,60,6,3584,2304,2320.5343999999996,0.3001149603655976,0.48309788,-0.18298292,-0.37876987
w13,1113,128,8,4096,3072,7496.8506,0.3019855778814716,0.48477316,-0.18278757,-0.37705794
w13,681,128,8,4096,1536,3713.1936,0.3048508917946073,0.48759943,-0.18274853,-0.37479234
w13,832,60,6,3584,2304,2308.918,0.301624869087168,0.48309788,-0.18147302,-0.37564442
w13,672,60,8,2048,1536,899.3716000000001,0.2949899217390097,0.4761852,-0.18119529,-0.38051432
w13,609,60,8,2048,1536,897.7716,0.2955156499696448,0.4761852,-0.18066955,-0.37941024
w13,609,60,6,3584,2304,2286.0126,0.3046470913952993,0.48309788,-0.1784508,-0.3693885
w13,3969,128,4,2048,512,670.1366,0.2815272737841878,0.45941997,-0.17789268,-0.38721147
w13,435,64,6,3072,2048,1815.37,0.1558870065559677,0.33177677,-0.17588976,-0.5301449
w13,849,64,8,3584,2560,2743.394,0.3008663972498649,0.4764849,-0.1756185,-0.36857098
w13,393,64,6,3072,2048,1809.834,0.1563638406016834,0.33177677,-0.17541292,-0.5287077
w13,279,64,6,3072,2048,1798.9666000000002,0.1573084208964786,0.33177677,-0.17446835,-0.52586067
w13,2049,128,8,4096,3072,7753.683999999999,0.3102315052145291,0.4846865,-0.17445499,-0.35993367
w13,736,64,8,3584,2560,2731.7328,0.302150733416129,0.4764849,-0.17433417,-0.36587554
w13,363,128,8,4096,3072,7278.955,0.1555127597802196,0.32723755,-0.17172478,-0.52477103
w13,339,128,8,2048,768,910.6436,0.1553805435471721,0.31746966,-0.16208911,-0.5105657
w13,327,128,8,2048,768,909.8756,0.1555116958249606,0.31746966,-0.16195796,-0.5101526
w13,832,128,4,2048,512,627.6146,0.3006012448738521,0.45941997,-0.15881872,-0.345694
w13,729,128,4,2048,512,623.4416,0.3026133162448652,0.45941997,-0.15680665,-0.3413144
w13,576,128,4,2048,512,623.327,0.3026689523492561,0.45941997,-0.156751,-0.3411933
w13,537,128,4,2048,512,622.4882,0.3030767973770503,0.45941997,-0.15634316,-0.34030554
w13,375,60,4,2048,1408,791.0442,0.1537188196353401,0.3056651,-0.15194629,-0.49710056
w13,267,60,6,3584,2304,2208.9626,0.1576366864434477,0.29104835,-0.13341166,-0.45838314
w13,405,128,8,4096,1536,3602.7612,0.1570976145138385,0.2889178,-0.1318202,-0.45625502
w13,363,128,8,4096,1536,3595.0101999999997,0.1574363238755245,0.2889178,-0.13148148,-0.45508265
w13,339,128,8,4096,1536,3592.3032,0.1575549608905546,0.2889178,-0.13136286,-0.45467207
w13,1521,8,2,1024,512,41.5124,0.426066360731232,0.5570867,-0.13102034,-0.23518841
w13,1536,8,2,1024,512,41.474,0.4264608475965471,0.5570867,-0.13062584,-0.23448028
w13,267,128,8,4096,1536,3573.186,0.1583979088082776,0.2889178,-0.1305199,-0.45175442
w13,375,32,4,2048,768,240.1884,0.1472763646638988,0.2767668,-0.12949044,-0.46786836
w13,351,32,4,2048,768,239.8874,0.147461160471281,0.2767668,-0.12930565,-0.4672007
w13,8097,128,8,4096,3072,28109.6202,0.3221588544596639,0.44543168,-0.123272836,-0.27674913
w13,993,32,4,2048,768,256.3288,0.2760054616292698,0.39737326,-0.12136781,-0.30542523
w13,1473,8,2,1024,512,40.3926,0.4378781557319706,0.5570867,-0.119208544,-0.21398562
w13,393,60,8,2048,1536,883.9986000000001,0.1500599423450941,0.26846093,-0.11840099,-0.44103622
w13,320,60,8,2048,1536,875.7362,0.1514757285917197,0.26846093,-0.1169852,-0.4357625
w13,832,32,4,2048,768,252.0344,0.2807083032033594,0.39737326,-0.116664946,-0.29359034
w13,471,64,8,3584,2560,2684.936,0.153708518381238,0.26870507,-0.11499655,-0.4279657
w13,405,64,8,3584,2560,2663.5922,0.1549402098821463,0.26870507,-0.11376487,-0.42338192
w13,288,64,8,3584,2560,2637.5116,0.1564723106842252,0.26870507,-0.11223276,-0.41768008
w13,576,32,4,2048,768,247.8168,0.285485684476907,0.39737326,-0.111887574,-0.28156796
w13,1024,16,2,1536,768,60.981399999999994,0.4350598016744252,0.53945017,-0.10439035,-0.1935125
