weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,2529,128,6,4096,2048,7890.265600000001,0.4500144513479425,0.61454725,-0.16453281,-0.26773012
w13,1185,64,6,3584,1536,2307.1953999999996,0.5049786612978011,0.6549748,-0.14999616,-0.22901058
w13,2337,128,6,4096,2048,7637.4498,0.4649108849099793,0.61454725,-0.14963636,-0.2434904
w13,1152,64,6,3584,1536,2303.4062,0.5058093724174418,0.6549748,-0.14916545,-0.22774227
w13,1065,64,6,3072,2048,2600.6104,0.5120048275455176,0.66055286,-0.148548,-0.22488436
w13,2241,128,6,4096,2048,7535.1014,0.4712257150213725,0.61454725,-0.14332154,-0.23321484
w13,896,64,6,3072,2048,2544.0794,0.5233818879100547,0.66055286,-0.13717097,-0.20766085
w13,1065,60,6,3584,2304,3234.5088,0.5065374996042676,0.6405598,-0.1340223,-0.20922683
w13,849,64,6,3072,2048,2527.2794000000004,0.5268610504106032,0.66055286,-0.13369179,-0.20239377
w13,2025,128,6,4096,2048,7376.5886,0.4813517111383363,0.61454725,-0.13319555,-0.21673769
w13,825,64,6,3072,2048,2517.1032,0.5289910558157009,0.66055286,-0.13156182,-0.19916925
w13,993,64,8,3584,2560,3781.67,0.5134788089408667,0.64477104,-0.13129222,-0.20362611
w13,1024,64,8,3584,2560,3777.9832,0.5139798947246265,0.64477104,-0.13079113,-0.20284896
w13,768,64,6,3072,2048,2498.6456,0.5328987349646862,0.66055286,-0.12765414,-0.19325347
w13,777,64,6,3584,1536,2190.6644,0.5318406801354166,0.6549748,-0.123134136,-0.18799828
w13,729,64,6,3584,1536,2177.9158,0.5349538510370531,0.6549748,-0.120020986,-0.1832452
w13,1521,128,8,2048,768,1248.4434,0.5332741073264031,0.65287447,-0.119600356,-0.18319044
w13,849,60,6,3584,2304,3142.6243999999997,0.5213476990759699,0.6405598,-0.11921209,-0.18610612
w13,3777,128,4,2048,512,856.4026,0.5182628977559073,0.63553774,-0.11727482,-0.18452848
w13,1737,60,4,2048,1408,1081.27,0.529136739703943,0.64551127,-0.11637455,-0.18028276
w13,1425,128,8,2048,768,1239.8926,0.5369517808901673,0.65287447,-0.11592269,-0.1775574
w13,1377,128,8,2048,768,1239.1950000000002,0.5372540558044049,0.65287447,-0.115620434,-0.17709443
w13,1024,16,2,1536,768,135.5338,0.4605141897831986,0.5748167,-0.114302516,-0.19885038
w13,753,64,8,3584,2560,3655.4668,0.5312064132021135,0.64477104,-0.11356461,-0.17613168
w13,3393,128,4,2048,512,849.8486,0.5222597214629677,0.63553774,-0.11327803,-0.17823966
w13,1536,60,8,2048,1536,2275.6678,0.5485443709775046,0.66084915,-0.11230481,-0.16994016
w13,576,64,6,3584,1536,2146.1974,0.5428598713447536,0.6549748,-0.112114966,-0.17117447
w13,1521,60,4,2048,1408,1069.974,0.534722976950545,0.64551127,-0.110788286,-0.17162874
w13,5313,60,8,2048,1536,12768.5744,0.2932914958551901,0.40395933,-0.110667825,-0.27395785
w13,729,60,6,3584,2304,3088.1220000000003,0.5305489873780893,0.6405598,-0.1100108,-0.17174166
w13,3072,128,4,2048,512,844.088,0.5258239580727283,0.63553774,-0.10971379,-0.17263144
w13,1185,128,8,2048,768,1224.9540000000002,0.5435000332114835,0.65287447,-0.10937446,-0.16752756
w13,2025,128,8,4096,1536,5246.7614,0.507560751424709,0.61670095,-0.10914022,-0.1769743
w13,1377,60,4,2048,1408,1063.4976,0.5379792888481202,0.64551127,-0.107531965,-0.16658418
w13,1977,128,8,4096,1536,5227.3171999999995,0.5094487395427542,0.61670095,-0.10725218,-0.1739128
w13,7521,60,8,2048,1536,16181.1332,0.3085827788389411,0.41562575,-0.10704297,-0.2575465
w13,2048,128,8,4096,1536,5222.4788,0.509920721694487,0.61670095,-0.10678023,-0.1731475
w13,672,60,6,3584,2304,3066.273,0.5343294612058352,0.6405598,-0.10623032,-0.16583982
w13,657,60,6,3584,2304,3060.8392,0.5352780374741672,0.6405598,-0.10528177,-0.164359
w13,576,64,8,3584,2560,3596.9708,0.5398451962432965,0.64477104,-0.10492587,-0.16273354
w13,681,16,2,1536,768,132.8266,0.4699001412009197,0.5748167,-0.10491657,-0.18252179
w13,2721,128,4,2048,512,836.2152,0.5307744861869207,0.63553774,-0.10476327,-0.16484194
w13,1233,60,4,2048,1408,1057.9872,0.5407812897355304,0.64551127,-0.10472995,-0.16224341
w13,993,16,2,1536,768,132.46200000000002,0.4711935354685727,0.5748167,-0.10362318,-0.1802717
w13,8097,60,8,2048,1536,16873.2844,0.3144198315115958,0.41796294,-0.1035431,-0.24773274
