weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,1689,128,8,4096,3072,4507.7334,0.4060964601845916,0.675981,-0.26988453,-0.3992487
w13,1545,128,8,4096,3072,4502.7734,0.406543793031169,0.675981,-0.2694372,-0.39858693
w13,1065,128,8,4096,3072,4454.7662,0.4109249498202293,0.675981,-0.26505604,-0.39210576
w13,2304,128,6,4096,2048,2999.174,0.4069063853794086,0.6709209,-0.2640145,-0.39351064
w13,1833,128,8,4096,1536,2301.1188,0.3977575119537186,0.6614805,-0.263723,-0.39868596
w13,2241,128,6,4096,2048,2991.3658,0.4079685110607009,0.6709209,-0.2629524,-0.39192754
w13,849,128,8,4096,3072,4428.0068,0.4134082579086946,0.675981,-0.26257274,-0.38843215
w13,825,60,6,3584,2304,1412.3478,0.3987093001780369,0.66014385,-0.26143456,-0.39602664
w13,849,60,6,3584,2304,1411.6822,0.3988972893091591,0.66014385,-0.26124656,-0.39574188
w13,768,60,6,3584,2304,1408.6614,0.3997527034857278,0.66014385,-0.26039115,-0.39444607
w13,729,60,6,3584,2304,1405.8834,0.400542607549097,0.66014385,-0.25960124,-0.39324948
w13,576,128,8,4096,3072,4387.897199999999,0.4171872069372668,0.675981,-0.25879377,-0.3828418
w13,753,128,8,4096,1536,2244.164,0.4078522285349585,0.6614805,-0.25362825,-0.38342515
w13,1024,128,6,4096,2048,2914.5384,0.4187225844970519,0.6709209,-0.25219834,-0.37589875
w13,921,128,6,4096,2048,2914.2504,0.4187639646421263,0.6709209,-0.25215694,-0.37583706
w13,585,128,8,4096,1536,2234.8898,0.4095447071251239,0.6614805,-0.25193578,-0.38086653
w13,825,128,6,4096,2048,2907.7288,0.4197031894666045,0.6709209,-0.25121772,-0.37443715
w13,609,128,8,4096,1536,2230.0,0.4104427303129717,0.6614805,-0.25103775,-0.3795089
w13,1152,64,6,3072,2048,1160.6838,0.3942879570637269,0.6448869,-0.25059897,-0.38859367
w13,993,64,6,3072,2048,1154.668,0.3963421903949564,0.6448869,-0.24854472,-0.38540822
w13,777,64,6,3072,2048,1150.1426,0.3979016552373274,0.6448869,-0.24698526,-0.38299003
w13,2049,128,8,4096,1536,2312.3446,0.4205656648819978,0.6644891,-0.24392343,-0.36708418
w13,585,64,6,3072,2048,1137.0606,0.4024795550025772,0.6448869,-0.24240735,-0.37589127
w13,576,64,6,3072,2048,1132.8112,0.4039893358213296,0.6448869,-0.24089757,-0.3735501
w13,736,64,8,3584,2560,1666.1532,0.4005615937774039,0.6413453,-0.24078372,-0.37543538
w13,681,64,8,3584,2560,1663.414,0.4012212120790865,0.6413453,-0.2401241,-0.37440687
w13,657,64,8,3584,2560,1659.702,0.4021185618076749,0.6413453,-0.23922676,-0.3730077
w13,608,64,8,3584,2560,1656.1817999999998,0.4029732613106374,0.6413453,-0.23837206,-0.37167504
w13,561,64,8,3584,2560,1654.1976,0.4034566252963501,0.6413453,-0.2378887,-0.37092137
w13,993,64,6,3584,1536,1031.996,0.3880230047031122,0.61002684,-0.22200382,-0.36392468
w13,753,64,6,3584,1536,1021.2308,0.3921133095100471,0.61002684,-0.21791354,-0.3572196
w13,681,64,6,3584,1536,1020.1364,0.3925339677729301,0.61002684,-0.21749288,-0.35653
w13,609,64,6,3584,1536,1014.1588,0.3948476202756343,0.61002684,-0.2151792,-0.35273728
w13,585,64,6,3584,1536,1011.7908,0.3957717235238677,0.61002684,-0.21425512,-0.35122246
w13,1281,60,6,3584,2304,1445.0522,0.4286542889181368,0.6392047,-0.2105504,-0.32939434
w13,2025,128,8,2048,768,607.2658,0.376806700047132,0.58236474,-0.20555803,-0.3529713
w13,2048,128,8,2048,768,605.8896,0.37766256781678,0.58236474,-0.20470217,-0.35150164
w13,1545,128,8,2048,768,596.7632,0.3834382249935681,0.58236474,-0.19892651,-0.34158406
w13,672,128,8,2048,768,576.1036,0.3971886691030601,0.58236474,-0.18517607,-0.3179727
w13,561,128,8,2048,768,574.8106,0.3980821198312656,0.58236474,-0.18428263,-0.31643853
w13,896,60,8,2048,1536,555.7886000000001,0.3859749161194366,0.55590713,-0.16993222,-0.30568454
w13,736,60,8,2048,1536,549.1128,0.3906673788429975,0.55590713,-0.16523975,-0.29724345
w13,753,60,8,2048,1536,548.7293999999999,0.3909403401114268,0.55590713,-0.16496679,-0.29675242
w13,672,60,8,2048,1536,546.0474,0.3928605067346518,0.55590713,-0.16304663,-0.29329833
w13,609,60,8,2048,1536,543.4042,0.3947714395014597,0.55590713,-0.1611357,-0.28986084
w13,1881,8,2,1024,512,45.6222,0.4179650516442318,0.5694614,-0.15149635,-0.26603445
w13,1785,8,2,1024,512,45.494,0.4191428579400245,0.5694614,-0.15031853,-0.26396614
w13,1689,8,2,1024,512,43.638,0.4369697323232842,0.5694614,-0.13249168,-0.23266138
w13,1641,8,2,1024,512,43.331,0.4400656615153925,0.5694614,-0.12939575,-0.2272248
w13,1545,8,2,1024,512,42.422,0.4494951953968101,0.5694614,-0.11996621,-0.21066609
w13,1881,60,4,2048,1408,521.3552,0.3771780801451886,0.4827614,-0.10558334,-0.21870708
w13,1785,60,4,2048,1408,520.4595999999999,0.3778271231997852,0.4827614,-0.104934275,-0.2173626
w13,1536,60,4,2048,1408,516.837,0.3804753789100061,0.4827614,-0.10228604,-0.211877
w13,1473,60,4,2048,1408,515.768,0.3812639663757946,0.4827614,-0.10149744,-0.21024348
w13,1521,60,4,2048,1408,513.9314,0.3826264622276647,0.4827614,-0.10013494,-0.20742117
