weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,1024,128,8,4096,3072,4056.226,0.3259388503219234,0.5789736,-0.25303474,-0.4370402
w13,960,128,8,4096,3072,4046.3126,0.3267373951992474,0.5789736,-0.2522362,-0.43566096
w13,993,128,8,4096,3072,4026.8952,0.3283128994978301,0.5789736,-0.2506607,-0.43293977
w13,896,128,8,4096,3072,4023.164,0.3286173864863312,0.5789736,-0.2503562,-0.43241385
w13,921,128,8,4096,3072,4006.3516,0.329996408474457,0.5789736,-0.24897718,-0.430032
w13,832,128,8,4096,3072,3986.2236,0.3316626892394833,0.5789736,-0.2473109,-0.42715403
w13,825,128,8,4096,3072,3972.6046,0.332799705031277,0.5789736,-0.24617389,-0.42519018
w13,849,128,8,4096,3072,3972.2332,0.3328308214849758,0.5789736,-0.24614277,-0.42513645
w13,777,128,8,4096,3072,3961.9228,0.3336969713508537,0.5789736,-0.24527663,-0.42364046
w13,768,128,8,4096,3072,3955.6,0.3342303668434357,0.5789736,-0.24474323,-0.42271915
w13,753,128,8,4096,3072,3954.9208,0.3342877660371591,0.5789736,-0.24468583,-0.42262003
w13,729,128,8,4096,3072,3949.635,0.3347351436489433,0.5789736,-0.24423844,-0.42184728
w13,736,128,8,4096,3072,3948.067,0.3348680858470472,0.5789736,-0.24410552,-0.42161772
w13,681,128,8,4096,3072,3919.8178,0.3372814009584564,0.5789736,-0.24169219,-0.4174494
w13,672,128,8,4096,3072,3918.4096,0.3374026133168656,0.5789736,-0.24157098,-0.41724005
w13,657,128,8,4096,3072,3910.0194,0.3381266187799207,0.5789736,-0.24084696,-0.41598955
w13,609,128,8,4096,3072,3904.3938,0.3386138045516552,0.5789736,-0.24035978,-0.4151481
w13,608,128,8,4096,3072,3901.8082,0.3388381927860766,0.5789736,-0.2401354,-0.41476053
w13,585,128,8,4096,3072,3894.9922,0.3394311390625876,0.5789736,-0.23954245,-0.4137364
w13,576,128,8,4096,3072,3885.0336,0.3403012110592542,0.5789736,-0.23867238,-0.41223362
w13,1329,128,6,4096,2048,2756.1784,0.3197861790770134,0.55838794,-0.23860174,-0.42730463
w13,561,128,8,4096,3072,3874.9864,0.3411835559180012,0.5789736,-0.23779005,-0.41070965
w13,537,128,8,4096,3072,3871.5044,0.341490413671206,0.5789736,-0.23748317,-0.41017964
w13,544,128,8,4096,3072,3868.6818,0.3417395659384275,0.5789736,-0.23723403,-0.4097493
w13,512,128,8,4096,3072,3862.9414000000006,0.3422473970446184,0.5789736,-0.2367262,-0.4088722
w13,501,128,8,4096,3072,3858.1094,0.3426760368915133,0.5789736,-0.23629755,-0.40813184
w13,480,128,8,4096,3072,3852.279,0.3431946749147438,0.5789736,-0.23577893,-0.40723607
w13,489,128,8,4096,3072,3848.3494,0.3435451154944232,0.5789736,-0.23542848,-0.40663078
w13,1233,128,6,4096,2048,2727.1932,0.3231849358492813,0.55838794,-0.235203,-0.42121792
w13,459,128,8,4096,3072,3844.2662,0.343910013069827,0.5789736,-0.23506358,-0.40600052
w13,471,128,8,4096,3072,3841.629,0.344146100283472,0.5789736,-0.23482749,-0.40559274
w13,1281,128,6,4096,2048,2722.668,0.3237220841434197,0.55838794,-0.23466584,-0.42025593
w13,447,128,8,4096,3072,3833.8536,0.3448440595347445,0.5789736,-0.23412952,-0.4043872
w13,435,128,8,4096,3072,3830.9922,0.3451016264365911,0.5789736,-0.23387197,-0.40394238
w13,423,128,8,4096,3072,3823.0184,0.3458214166810953,0.5789736,-0.23315218,-0.40269917
w13,416,128,8,4096,3072,3822.1416,0.3459007481789514,0.5789736,-0.23307285,-0.40256214
w13,1185,128,6,4096,2048,2706.322,0.3256773434168573,0.55838794,-0.2327106,-0.41675434
w13,405,128,8,4096,3072,3814.6792,0.3465774105161698,0.5789736,-0.23239619,-0.4013934
w13,393,128,8,4096,3072,3814.5322,0.3465907665128359,0.5789736,-0.23238283,-0.40137035
w13,1152,128,6,4096,2048,2703.3779999999997,0.3260320086168476,0.55838794,-0.23235592,-0.41611916
w13,384,128,8,4096,3072,3806.8776,0.3472876666919615,0.5789736,-0.23168594,-0.40016666
w13,375,128,8,4096,3072,3803.7608,0.3475722340600109,0.5789736,-0.23140135,-0.39967513
w13,1065,128,6,4096,2048,2695.0584,0.3270384639496481,0.55838794,-0.23134947,-0.41431674
w13,351,128,8,4096,3072,3793.9048,0.3484751749927658,0.5789736,-0.2304984,-0.39811558
w13,363,128,8,4096,3072,3793.495,0.3485128197311171,0.5789736,-0.23046076,-0.39805055
w13,1113,128,6,4096,2048,2682.7316,0.3285411628172554,0.55838794,-0.22984678,-0.41162562
w13,339,128,8,4096,3072,3784.8746,0.3493065897311088,0.5789736,-0.22966701,-0.39667958
w13,327,128,8,4096,3072,3781.7898,0.3495915185677148,0.5789736,-0.22938207,-0.39618745
w13,320,128,8,4096,3072,3776.6314,0.3500690162894621,0.5789736,-0.22890458,-0.39536273
w13,309,128,8,4096,3072,3774.622,0.3502553736734153,0.5789736,-0.22871822,-0.39504084
w13,993,128,6,4096,2048,2671.8584,0.3298781699623738,0.55838794,-0.22850975,-0.4092312
w13,288,128,8,4096,3072,3763.7096,0.3512708948336221,0.5789736,-0.2277027,-0.39328685
w13,297,128,8,4096,3072,3762.2634,0.3514059220537016,0.5789736,-0.22756767,-0.39305362
w13,1024,128,6,4096,2048,2662.6872,0.3310143825345299,0.55838794,-0.22737354,-0.40719637
w13,279,128,8,4096,3072,3754.8972,0.3520952954679809,0.5789736,-0.22687829,-0.39186293
w13,267,128,8,4096,3072,3752.1648,0.3523516981679201,0.5789736,-0.2266219,-0.3914201
w13,921,128,6,4096,2048,2653.1832000000004,0.3322001132038663,0.55838794,-0.22618783,-0.4050729
w13,960,128,6,4096,2048,2649.6378,0.3326446201026405,0.55838794,-0.22574332,-0.40427688
w13,849,128,6,4096,2048,2636.7802,0.33426667850077,0.55838794,-0.22412124,-0.40137193
w13,896,128,6,4096,2048,2634.227,0.3345906633675063,0.55838794,-0.22379726,-0.40079173
w13,825,128,6,4096,2048,2632.313,0.3348339499864173,0.55838794,-0.22355399,-0.40035605
w13,832,128,6,4096,2048,2624.1722,0.3358726837326438,0.55838794,-0.22251526,-0.39849582
w13,768,128,6,4096,2048,2619.6218,0.3364561095768085,0.55838794,-0.22193182,-0.39745095
w13,736,128,6,4096,2048,2613.593,0.3372322161065614,0.55838794,-0.22115573,-0.3960611
w13,777,128,6,4096,2048,2609.8428,0.3377168001806838,0.55838794,-0.22067115,-0.39519325
w13,753,128,6,4096,2048,2606.3806,0.3381654081489849,0.55838794,-0.22022253,-0.39438984
w13,681,128,6,4096,2048,2599.9036,0.3390078614417073,0.55838794,-0.21938008,-0.39288113
w13,729,128,6,4096,2048,2596.5440000000003,0.3394464947987001,0.55838794,-0.21894145,-0.3920956
w13,657,128,6,4096,2048,2591.897,0.3400550868304551,0.55838794,-0.21833286,-0.3910057
w13,672,128,6,4096,2048,2586.3292,0.3407871509128057,0.55838794,-0.2176008,-0.38969466
w13,608,128,6,4096,2048,2583.5518,0.3411535078919633,0.55838794,-0.21723443,-0.38903856
w13,576,128,6,4096,2048,2574.7583999999997,0.342318626629433,0.55838794,-0.21606931,-0.38695198
w13,609,128,6,4096,2048,2571.2574,0.3427847244661682,0.55838794,-0.2156032,-0.38611722
w13,544,128,6,4096,2048,2565.696,0.3435277442809266,0.55838794,-0.2148602,-0.3847866
