num_prefill_tokens,num_decode_tokens,output_tokens
374,99,18
1058,379,18
1350,163,18
420,98,18
1079,515,18
200,211,18
381,69,18
376,64,18
194,92,18
410,108,18
419,175,18
4075,27,18
2655,96,18
399,117,18
1532,99,18
328,18,18
1025,91,18
420,104,18
378,90,18
2173,36,18
4088,41,18
1479,86,18
1088,103,18
979,45,18
1062,427,18
1041,428,18
50,154,18
413,93,18
430,88,18
222,73,18
394,80,18
1003,611,18
392,95,18
181,145,18
4074,50,18
1033,403,18
997,427,18
406,113,18
382,61,18
1312,156,18
2593,113,18
25,174,18
203,179,18
400,115,18
1207,368,18
372,53,18
458,123,18
200,217,18
1314,184,18
4090,83,18
383,76,18
1354,179,18
1053,450,18
395,80,18
202,80,18
200,191,18
998,373,18
2221,202,18
181,342,18
1129,394,18
31,70,18
401,96,18
203,183,18
411,144,18
